uuid,name,description
0caa53f3-3e46-4f10-b07f-dfcb64100d99,Everything Box Expansion,"The Everything Box comes with 300 all-new cards to add to your deck of Cards Against Humanity.
We'd like to say we called it the Everything Box because it holds a mirror to our fragmented, chaotic world, where everything is monetized and opiate-peddling megacorporations control us with amoral social media algorithms.
But honestly, we were just hungry.
Bagel not included.

Released: August 10, 2021  Icon: Bagel"

uuid,edition,version,description,author,releaseDate,column
724cb7ce-4ae3-451a-85a6-f8c102991447,,v1.0,,,0,0

uuid,suite,text,draw,pick,724cb7ce-4ae3-451a-85a6-f8c102991447
d6169dfb-4c20-4f12-951e-ce59bc0bec5d,Prompt,A new adventure awaits at Walt Disney's Magical Kingdom of ______!,0,0,724cb7ce-4ae3-451a-85a6-f8c102991447
487a633e-063d-4582-bfd5-f497f04fbbc7,Prompt,"After phasing out orca shows, SeaWorld is now attracting customers with ______.",0,0,724cb7ce-4ae3-451a-85a6-f8c102991447
1078162a-2c28-400c-a335-be2573d14741,Prompt,"Alright, I'm done with ______. It's time for _____.",0,2,724cb7ce-4ae3-451a-85a6-f8c102991447
9aecdef3-87b7-4fcf-9c13-3edafc24768f,Prompt,"And now, from WHYY in Philadelphia, it's ""______ with Terry Gross.""",0,0,724cb7ce-4ae3-451a-85a6-f8c102991447
664561f9-dc62-42bd-949e-09dc2794dc1a,Prompt,"As a feminist, I cannot support ______.",0,0,724cb7ce-4ae3-451a-85a6-f8c102991447
74d2ed3d-3ff5-499e-a0b2-90aa53b95b34,Prompt,"Because I could not stop for Death--
He kindly stopped for me--
The Carriage held but just Ourselves--
And ______.

-- Emily Dickinson",0,0,724cb7ce-4ae3-451a-85a6-f8c102991447
73867b0e-8c40-4dc2-8168-ad07f9a7bb49,Prompt,"Every Tuesday, I purchase a box of donuts. I sit on the toilet. I eat the donuts. I remember ______, and I cry.",0,0,724cb7ce-4ae3-451a-85a6-f8c102991447
6d6e7cf7-4347-4bdb-8f80-5e6c910858e3,Prompt,"Few remember Beethoven's lesser-known symphony, ""Ode to ______.""",0,0,724cb7ce-4ae3-451a-85a6-f8c102991447
ea74956f-e6f9-4639-a7d8-6b8e381660a6,Prompt,FIRST LOOK: Nike drops hot new sneakers designed exclusively for ______.,0,0,724cb7ce-4ae3-451a-85a6-f8c102991447
00519a10-cb29-44ef-bfb1-317fcbe1ebb5,Prompt,"Hey everybody! It's ""______ Guy.""",0,0,724cb7ce-4ae3-451a-85a6-f8c102991447
