uuid,name,description
0f859ba0-e73d-4eb0-9b0f-65edddc01300,Red Box Expansion,"A combination of the First, Second, and Third Expansions.
Released November 21, 2016. Icon: A red diamond."

uuid,edition,version,description,author,releaseDate,column
b39b771d-b43b-4318-8b69-4f0944bf67ca,,v1.0,,,0,0
116c4be5-c49d-4403-99ad-a6dda43d9e08,,v1.1,,,0,1
d570fdb8-4f6c-44f4-b081-0f7b787647fa,,v1.2,,,0,2
fd144f70-7d57-4bfd-9291-3689ddb88eb9,,v1.3,,,0,3
4f88bca1-f68c-4062-a81a-9f7b7edfa059,,v1.4,,,0,4

uuid,suite,text,draw,pick,b39b771d-b43b-4318-8b69-4f0944bf67ca,116c4be5-c49d-4403-99ad-a6dda43d9e08,d570fdb8-4f6c-44f4-b081-0f7b787647fa,fd144f70-7d57-4bfd-9291-3689ddb88eb9,4f88bca1-f68c-4062-a81a-9f7b7edfa059
824753f0-017a-4437-b9b7-4b918b67d827,Prompt,______ is back! Only at McDonald's.,0,0,,,,,4f88bca1-f68c-4062-a81a-9f7b7edfa059
8c05e723-7632-4999-a73d-ba47b0dffee6,Prompt,______ would be woefully incomplete without ______.,0,2,b39b771d-b43b-4318-8b69-4f0944bf67ca,116c4be5-c49d-4403-99ad-a6dda43d9e08,d570fdb8-4f6c-44f4-b081-0f7b787647fa,fd144f70-7d57-4bfd-9291-3689ddb88eb9,4f88bca1-f68c-4062-a81a-9f7b7edfa059
484650ba-bfaa-4e87-827f-eb0e53bf2e6c,Prompt,______: Hours of fun. Easy to use. Perfect for ______!,0,2,b39b771d-b43b-4318-8b69-4f0944bf67ca,116c4be5-c49d-4403-99ad-a6dda43d9e08,d570fdb8-4f6c-44f4-b081-0f7b787647fa,fd144f70-7d57-4bfd-9291-3689ddb88eb9,
9d98cba0-9110-41c0-9b5e-3bdc73504ce9,Prompt,"______. Awesome in theory, kind of a mess in practice.",0,0,b39b771d-b43b-4318-8b69-4f0944bf67ca,116c4be5-c49d-4403-99ad-a6dda43d9e08,d570fdb8-4f6c-44f4-b081-0f7b787647fa,fd144f70-7d57-4bfd-9291-3689ddb88eb9,4f88bca1-f68c-4062-a81a-9f7b7edfa059
e721e306-d31e-4084-b894-96d85c050a53,Prompt,A remarkable new study has shown that chimps have evolved their own primitive version of ______.,0,0,b39b771d-b43b-4318-8b69-4f0944bf67ca,116c4be5-c49d-4403-99ad-a6dda43d9e08,d570fdb8-4f6c-44f4-b081-0f7b787647fa,fd144f70-7d57-4bfd-9291-3689ddb88eb9,4f88bca1-f68c-4062-a81a-9f7b7edfa059
a9af2116-6e91-4683-9fff-a7bd79704ab8,Prompt,A successful job interview begins with a firm handshake and ends with ______.,0,0,b39b771d-b43b-4318-8b69-4f0944bf67ca,116c4be5-c49d-4403-99ad-a6dda43d9e08,d570fdb8-4f6c-44f4-b081-0f7b787647fa,fd144f70-7d57-4bfd-9291-3689ddb88eb9,4f88bca1-f68c-4062-a81a-9f7b7edfa059
f7cdfcef-13eb-4ac2-8065-69c3ac9db115,Prompt,"After months of practice with ______, I think I’m finally ready for ______.",0,2,b39b771d-b43b-4318-8b69-4f0944bf67ca,116c4be5-c49d-4403-99ad-a6dda43d9e08,d570fdb8-4f6c-44f4-b081-0f7b787647fa,fd144f70-7d57-4bfd-9291-3689ddb88eb9,4f88bca1-f68c-4062-a81a-9f7b7edfa059
780a4e52-36df-479a-8143-edf0846c8fe6,Prompt,"And I would have gotten away with it, too, if it hadn't been for ______!",0,0,b39b771d-b43b-4318-8b69-4f0944bf67ca,116c4be5-c49d-4403-99ad-a6dda43d9e08,d570fdb8-4f6c-44f4-b081-0f7b787647fa,fd144f70-7d57-4bfd-9291-3689ddb88eb9,4f88bca1-f68c-4062-a81a-9f7b7edfa059
34deda64-12d7-41aa-857c-a013c3d6c302,Prompt,And what did you bring for show and tell?,0,0,b39b771d-b43b-4318-8b69-4f0944bf67ca,116c4be5-c49d-4403-99ad-a6dda43d9e08,d570fdb8-4f6c-44f4-b081-0f7b787647fa,fd144f70-7d57-4bfd-9291-3689ddb88eb9,4f88bca1-f68c-4062-a81a-9f7b7edfa059
2a5da68e-02d6-42c4-9084-d66777606a54,Prompt,"As part of his contract, Prince won’t perform without ______ in his dressing room.",0,0,b39b771d-b43b-4318-8b69-4f0944bf67ca,,,,
