uuid,name,description
1203b14b-0d08-4958-b40e-9c43b60fce08,Red Box Expansion,"A combination of the First, Second, and Third Expansions.
Released November 21, 2016. Icon: A red diamond."

uuid,edition,version,description,author,releaseDate,column
b86f3ab6-1a01-4338-986a-e7aae4c6f460,,v1.0,,,0,0
e76bbcef-c125-4557-901c-78e0ad64dfe2,,v1.1,,,0,1
4a77719b-f6ec-44c3-9f59-90442fe823d3,,v1.2,,,0,2
12992326-a6c3-45b8-b87f-c9ac85e0a464,,v1.3,,,0,3
3c5b35c0-3354-4712-b391-058b3e804d1d,,v1.4,,,0,4

uuid,suite,text,draw,pick,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
cd9b375b-65b3-43f8-b14c-13aedbd75f06,Prompt,______ is back! Only at McDonald's.,0,0,,,,,3c5b35c0-3354-4712-b391-058b3e804d1d
62c8e2a3-02bf-4180-a014-b42f5e780d55,Prompt,______ would be woefully incomplete without ______.,0,2,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
323f4794-a88f-477a-b00b-1fc6f8041f81,Prompt,______: Hours of fun. Easy to use. Perfect for ______!,0,2,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,
3bccf810-ad99-45a3-9eff-e024d0022171,Prompt,"______. Awesome in theory, kind of a mess in practice.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
054be388-f171-4b8c-91ec-e3c6fab5f588,Prompt,A remarkable new study has shown that chimps have evolved their own primitive version of ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
62ee15ad-2007-4b19-a566-deefd16e80f7,Prompt,A successful job interview begins with a firm handshake and ends with ______.,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
74bd665f-a815-4617-bde6-ef18f53136ad,Prompt,"After months of practice with ______, I think I’m finally ready for ______.",0,2,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
9c111bab-4b20-4daa-adf9-b37fd4013c4d,Prompt,"And I would have gotten away with it, too, if it hadn't been for ______!",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
6a70cd7d-47da-4813-9025-4aae834cc4c5,Prompt,And what did you bring for show and tell?,0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,e76bbcef-c125-4557-901c-78e0ad64dfe2,4a77719b-f6ec-44c3-9f59-90442fe823d3,12992326-a6c3-45b8-b87f-c9ac85e0a464,3c5b35c0-3354-4712-b391-058b3e804d1d
55bb631c-bf10-49a4-89e4-cb242de319cb,Prompt,"As part of his contract, Prince won’t perform without ______ in his dressing room.",0,0,b86f3ab6-1a01-4338-986a-e7aae4c6f460,,,,
