uuid,name,description
1854cfe5-30e0-4108-abe1-e23c0ef9c3d6,Cards Against Humanity- Family Edition,"Cards Against Humanity: Family Edition is a new party game that’s just like Cards Against Humanity, except it’s written for kids and adults to play together. Each round, one player asks a question from a black card, and everyone else answers with their funniest white card. We didn’t just take the adult stuff out of the original game: we wrote a whole new game from scratch and tested it with thousands of families. If you like to laugh at stuff like “filling my butt with spaghetti,” this is the game for you. If you don’t, go fill your butt with spaghetti!
Release Date: April 2, 2020 (during COVID Stay at Home orders)"

uuid,edition,version,description,author,releaseDate,column
d260955c-0dd9-4cb7-a566-575d59b4edc6,,DRAFT,,,0,0
1269072b-a2dd-4192-9cde-b0d24b25477d,,v1.0,,,0,1

uuid,suite,text,draw,pick,d260955c-0dd9-4cb7-a566-575d59b4edc6,1269072b-a2dd-4192-9cde-b0d24b25477d
946fb4c3-e620-4b12-ae2d-83fc08a6c533,Prompt,_______? No.,0,0,d260955c-0dd9-4cb7-a566-575d59b4edc6,
cdb5ca9f-1c8e-47ac-81e1-8ed7d494c270,Prompt,"""One nation,
under God,
indivisible,
with liberty and
______
for all.""",0,0,d260955c-0dd9-4cb7-a566-575d59b4edc6,1269072b-a2dd-4192-9cde-b0d24b25477d
76b618f7-aa7c-407c-9cac-13cacd68da32,Prompt,All I want for Christmas is _______ .,0,0,,1269072b-a2dd-4192-9cde-b0d24b25477d
93347b72-0ebd-4465-877f-2821be6738a1,Prompt,"Alright, which one of you little terds is responsible for ______?!",0,0,d260955c-0dd9-4cb7-a566-575d59b4edc6,1269072b-a2dd-4192-9cde-b0d24b25477d
a5e3b928-17ee-4871-aaee-31c6f378bdcd,Prompt,"And in the blue corner, weighing in at 280 pounds, it's Tommy ""_______"" Takahashi!",0,0,,1269072b-a2dd-4192-9cde-b0d24b25477d
05853158-4033-41a2-905f-b899199dc8f4,Prompt,"And over here is Picasso's famous painting, ""portrait of _______.""",0,0,,1269072b-a2dd-4192-9cde-b0d24b25477d
d609270b-0408-4139-91f3-879ee675836c,Prompt,"At school, I'm just Mandy. But at summer camp, I'm ""______ Mandy.""",0,0,d260955c-0dd9-4cb7-a566-575d59b4edc6,
72f623b1-15a1-43d8-9d10-34d53e4fde72,Prompt,Attention students. This is Principal Butthead. Please remember that we do not allow ______ in the hallway. Thank you.,0,0,d260955c-0dd9-4cb7-a566-575d59b4edc6,1269072b-a2dd-4192-9cde-b0d24b25477d
f88538cb-adca-48f1-bf7c-03da12c3a633,Prompt,Beep beep! ______ coming through!,0,0,d260955c-0dd9-4cb7-a566-575d59b4edc6,1269072b-a2dd-4192-9cde-b0d24b25477d
ef79668a-ab70-4e3e-9a02-14414fa9137c,Prompt,"Before I attend your sleepover, I must inform you: toys bore me, and I don't care for sweets. I prefer _______.",0,0,d260955c-0dd9-4cb7-a566-575d59b4edc6,
70e8e7e3-41c4-4c62-99ce-0b2ae19d861d,Prompt,"Bow before me, for I am the Queen of ______!",0,0,d260955c-0dd9-4cb7-a566-575d59b4edc6,1269072b-a2dd-4192-9cde-b0d24b25477d
18f201ee-924e-4379-8568-654643537a0a,Prompt,Boys? No. ______? Yes!,0,0,d260955c-0dd9-4cb7-a566-575d59b4edc6,1269072b-a2dd-4192-9cde-b0d24b25477d
553c544c-3cc8-44c3-8b6b-836d8fed24d6,Prompt,Charmander has evolved into _______!,0,0,,1269072b-a2dd-4192-9cde-b0d24b25477d
904980f1-a3f3-453d-b445-788808e8160d,Prompt,"CHUNGO ANGERY.
CHUNGO
DESTROY ______.",0,0,,1269072b-a2dd-4192-9cde-b0d24b25477d
