uuid,name,description
1cd8f741-2eb3-469b-a29e-e6ffcace193f,Cards Against Humanity: Sixth Expansion,"Released March 30, 2015. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Blue Box Expansion. Icon: The number ""6"". "

uuid,edition,version,description,author,releaseDate,column
a6063eed-404c-4634-aa74-52d0aee3b4cd,,v1.0,,,0,0
87b49b5a-de87-475f-9694-b38ad222da52,,v1.1,,,0,1

uuid,suite,text,draw,pick,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
d0f89584-fe73-43ac-aa1d-bc3e0a60c0c6,Prompt,"""This is madness."" ""No, THIS IS ______!""",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
4f1744c4-0326-41fe-81c2-10c81e621835,Prompt,"And would you like those buffalo wings mild, hot, or ______?",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
1804057a-9a3f-4508-bb41-3a1f851cd897,Prompt,Behind every powerful man is ______.,0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
68bc182b-08a2-4a55-8ab3-1ee1c067cdf0,Prompt,"Come to Dubai, where you can relax in our world-famous spas, experience the nightlife, or simply enjoy ______ by the poolside.",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
f74592da-aafb-41b7-811e-db907d101418,Prompt,Don't worry kid. It gets better. I've been living with ______ for 20 years.,0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
d98acf55-da6b-4ab1-93bc-e29b5304b77e,Prompt,Everybody join hands and close your eyes. Do you sense that? That's the presence of ______ in this room.,0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
e029e691-4f88-4c45-9129-20d6c0dc37ba,Prompt,"I have a strict policy. First date, dinner. Second date, kiss. Third date, ______.",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
3d5deb9b-9ef6-483c-a53b-84880e977866,Prompt,I went to the desert and ate of the peyote cactus. Turns out my spirit animal is ______.,0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,
43c7c7f3-43bd-4ef0-b942-4131442ab943,Prompt,"I work my ass off all day for this family, and this is what I come home to? ______!?",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
71ed924e-2ece-44ff-afa0-cf380f458544,Prompt,"I'm Miss Tennessee, and if I could make the world better by changing one thing, I would get rid of ______.",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
b877a887-0184-444e-816e-cd7f81e0c924,Prompt,"I'm sorry, Mrs. Chen, but there was nothing we could do. At 4:15 this morning, your son succumbed to ______.",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
18f36a23-50ba-4cb9-a607-0d82e0552256,Prompt,"If you had to describe the Card Czar, using only one of the cards in your hand, which one would it be?",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
3749dcf2-073e-4edc-9071-e8f4089b9cc8,Prompt,"James is a lonely boy. But when he discovers a secret door in his attic, he meets a magical new friend: ______.",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
1b8a29c0-00a1-4ed5-addf-b18a591230de,Prompt,"Listen Gary, I like you. But if you want that corner office, you're going to have to show me ______.",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
f7914141-7861-4805-ad83-8a3f340a57d7,Prompt,"My grandfather worked his way up from nothing. When he came to this country, all he had was the shoes on his feet and ______.",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
16f7f852-17b3-4a21-bfa2-0669aaa9f1c0,Prompt,Puberty is a time of change. You might notice hair growing in new places. You might develop an intrest in ______. This is normal.,0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
9710c06c-e5f6-412f-96c3-3a31a585e3d5,Prompt,"The six things I could never do without: oxygen, facebook, chocolate, netflix, friends, and ______ LOL!",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
c309538e-ba1c-4a70-a6eb-020dedc80644,Prompt,"This is America. If you don't work hard, you don't succeed. I don't care if you're black, white, purple, or ______.",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
dbbbc86c-4bb4-4c3a-84f9-eb8e821f4366,Prompt,"To become a true Yanomamo warrior, you must prove that you can withstand ______ without crying out.",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
f45217aa-9580-449f-ae04-00fce0a1b537,Prompt,"Tonight we will have sex. And afterwards, If you'd like, a little bit of ______.",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
8690726b-f746-4d33-bed6-7a31f04b3d07,Prompt,"When I was a kid, we used to play Cowboys and ______.",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
53fa667e-73f4-45c0-9d5e-80814d60c42a,Prompt,Why won't you make love to me anymore? Is it ______?,0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
15515785-1a25-4361-8177-75cbae6e0132,Prompt,"Y'all ready to get this thing started? I'm Nick Cannon, and this is America's Got ______.",0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
2fedc36b-b9bf-45fd-a7b2-8547e9f99946,Prompt,You are not alone. Millions of Americans struggle with ______ every day.,0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
22ebbab1-84af-4a57-a11f-fc6ff139a2c3,Prompt,"You know, once you get past ______, ______ ain't so bad.",0,2,,87b49b5a-de87-475f-9694-b38ad222da52
02596ba1-7c15-4a09-9a4f-19309e1ac325,Prompt,You Won't Believe These 15 Hilarious ______ Bloopers!,0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
d59cba5f-d90a-4369-9d46-687a54d210b8,Response,A bass drop so huge it tears the starry vault asunder to reveal the face of God.,0,0,a6063eed-404c-4634-aa74-52d0aee3b4cd,87b49b5a-de87-475f-9694-b38ad222da52
