uuid,name,description
2636d0a8-0d24-4c4d-acd0-09dec145b426,Cards Against Humanity- Family Edition,"Cards Against Humanity: Family Edition is a new party game that’s just like Cards Against Humanity, except it’s written for kids and adults to play together. Each round, one player asks a question from a black card, and everyone else answers with their funniest white card. We didn’t just take the adult stuff out of the original game: we wrote a whole new game from scratch and tested it with thousands of families. If you like to laugh at stuff like “filling my butt with spaghetti,” this is the game for you. If you don’t, go fill your butt with spaghetti!
Release Date: April 2, 2020 (during COVID Stay at Home orders)"

uuid,edition,version,description,author,releaseDate,column
84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,,DRAFT,,,0,0
cacf96de-676a-4cb9-b208-feaa8d0b964a,,v1.0,,,0,1

uuid,suite,text,draw,pick,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,cacf96de-676a-4cb9-b208-feaa8d0b964a
5c373163-0f23-45c3-9e9c-c84c6b026184,Prompt,_______? No.,0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,
9aa3034f-fb94-414f-b5a1-40ea104b2724,Prompt,"""One nation,
under God,
indivisible,
with liberty and
______
for all.""",0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,cacf96de-676a-4cb9-b208-feaa8d0b964a
e3588a23-87ad-4174-ac02-7c842da1b361,Prompt,All I want for Christmas is _______ .,0,0,,cacf96de-676a-4cb9-b208-feaa8d0b964a
2210b2ec-233b-4cb7-9e7c-bed470574acd,Prompt,"Alright, which one of you little terds is responsible for ______?!",0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,cacf96de-676a-4cb9-b208-feaa8d0b964a
008744e9-e0ce-41da-ac6a-cf6a2aa238fa,Prompt,"And in the blue corner, weighing in at 280 pounds, it's Tommy ""_______"" Takahashi!",0,0,,cacf96de-676a-4cb9-b208-feaa8d0b964a
089dd660-ae4f-4e26-8dd1-3bb314094b97,Prompt,"And over here is Picasso's famous painting, ""portrait of _______.""",0,0,,cacf96de-676a-4cb9-b208-feaa8d0b964a
cf950435-99d8-4aa5-a879-46b2dd7f850a,Prompt,"At school, I'm just Mandy. But at summer camp, I'm ""______ Mandy.""",0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,
33e5f06d-76ea-467d-a1b4-61ec00e825e1,Prompt,Attention students. This is Principal Butthead. Please remember that we do not allow ______ in the hallway. Thank you.,0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,cacf96de-676a-4cb9-b208-feaa8d0b964a
88739d2d-6f4f-4703-a9e3-f710eebf757b,Prompt,Beep beep! ______ coming through!,0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,cacf96de-676a-4cb9-b208-feaa8d0b964a
7a5fa1b9-dc1d-48f2-b054-ae0a06c8e8d7,Prompt,"Before I attend your sleepover, I must inform you: toys bore me, and I don't care for sweets. I prefer _______.",0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,
eca793f2-1c6b-4bbe-8e04-79fdbfdd662e,Prompt,"Bow before me, for I am the Queen of ______!",0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,cacf96de-676a-4cb9-b208-feaa8d0b964a
2dfc25be-000d-4470-9438-d45362fffbea,Prompt,Boys? No. ______? Yes!,0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,cacf96de-676a-4cb9-b208-feaa8d0b964a
a2672545-50c2-4447-91ed-52c538b12d7a,Prompt,Charmander has evolved into _______!,0,0,,cacf96de-676a-4cb9-b208-feaa8d0b964a
16cec5a9-cb0b-4942-9157-634eb4043907,Prompt,"CHUNGO ANGERY.
CHUNGO
DESTROY ______.",0,0,,cacf96de-676a-4cb9-b208-feaa8d0b964a
f3baa0a8-0aa6-4be9-b697-cff8ace2c3b9,Prompt,CHUNGO FEEL SICK. CHUNGO NO LIKE ______ ANYMORE.,0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,cacf96de-676a-4cb9-b208-feaa8d0b964a
514d4afb-23db-4e4f-81e8-20782d8fe9f4,Prompt,"Class, pay close attention. I will now demonstrate the physics of ______.",0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,cacf96de-676a-4cb9-b208-feaa8d0b964a
bd2e339e-f429-4fd3-b513-3d651c1c32a3,Prompt,CNN breaking news! Over of Americans _______.,0,0,,cacf96de-676a-4cb9-b208-feaa8d0b964a
7af47a04-f1cb-44a7-b399-9d46f150a1e5,Prompt,"Come on, Danny. All the cool kids are doin' it. Wanna try _______?",0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,
2aca446d-9ba7-4dd7-8c4e-2d3798030cbd,Prompt,"Come with me, and I will show you a world of ______.",0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,
af5600ba-8a99-4d39-be51-ec8e70f7579b,Prompt,Coming soon! Batman vs. ______.,0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,cacf96de-676a-4cb9-b208-feaa8d0b964a
94facf8b-a4ba-481d-ac8a-f59e5929e8f6,Prompt,"Coming to theaters this holiday season, ""Star Wars: The Rise of ______.""",0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,cacf96de-676a-4cb9-b208-feaa8d0b964a
c65151e6-cf3e-45a7-88b2-fb6b26c3b694,Prompt,Did you know that Benjamin Franklin invented ______?,0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,cacf96de-676a-4cb9-b208-feaa8d0b964a
c095d4a4-c21f-4f3d-8e7a-a9ecc7950af4,Prompt,"Disney Proudly presents ""_______ in Ice.""",0,0,,cacf96de-676a-4cb9-b208-feaa8d0b964a
6eb9c761-e25b-475c-bd67-6f30ca99bfb0,Prompt,ENOUGH! I will not let ______ tear this family apart!,0,0,84aeffe0-b1de-43d4-8ff9-c7d471bb7f5d,cacf96de-676a-4cb9-b208-feaa8d0b964a
