uuid,name,description
281f9a7a-e708-4a99-8827-73e12d8cbcbb,Everything Box Expansion,"The Everything Box comes with 300 all-new cards to add to your deck of Cards Against Humanity.
We'd like to say we called it the Everything Box because it holds a mirror to our fragmented, chaotic world, where everything is monetized and opiate-peddling megacorporations control us with amoral social media algorithms.
But honestly, we were just hungry.
Bagel not included.

Released: August 10, 2021  Icon: Bagel"

uuid,edition,version,description,author,releaseDate,column
d44f1e5c-7664-413c-aedc-d2160786c1d1,,v1.0,,,0,0

uuid,suite,text,draw,pick,d44f1e5c-7664-413c-aedc-d2160786c1d1
f847dc41-1e6c-4b87-8323-f3bbc277aff3,Prompt,A new adventure awaits at Walt Disney's Magical Kingdom of ______!,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
bca43443-1307-449d-af0e-bdaec4e5de34,Prompt,"After phasing out orca shows, SeaWorld is now attracting customers with ______.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
422d0a61-4067-41b6-a308-f8d82f05464a,Prompt,"Alright, I'm done with ______. It's time for _____.",0,2,d44f1e5c-7664-413c-aedc-d2160786c1d1
39632e70-9168-4ed5-9e74-d260de1706cd,Prompt,"And now, from WHYY in Philadelphia, it's ""______ with Terry Gross.""",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
55050639-63b7-49f4-920c-7a0746db70b4,Prompt,"As a feminist, I cannot support ______.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
857eb6e8-472e-4af6-8bb9-dadf49cc8fd1,Prompt,"Because I could not stop for Death--
He kindly stopped for me--
The Carriage held but just Ourselves--
And ______.

-- Emily Dickinson",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
1706257a-7675-48e7-b2f3-89f00f843d72,Prompt,"Every Tuesday, I purchase a box of donuts. I sit on the toilet. I eat the donuts. I remember ______, and I cry.",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
2a426223-d89a-41d1-b448-146fd6459c6a,Prompt,"Few remember Beethoven's lesser-known symphony, ""Ode to ______.""",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
6b9abc0f-fb4d-4f04-9122-935226bb0419,Prompt,FIRST LOOK: Nike drops hot new sneakers designed exclusively for ______.,0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
d9202554-2d81-4a14-b20c-30100edb6235,Prompt,"Hey everybody! It's ""______ Guy.""",0,0,d44f1e5c-7664-413c-aedc-d2160786c1d1
