uuid,name,description
3b92d64a-3918-4faf-ba06-18eb93967f7e,Green Box Expansion,"Released November 21, 2016. Icon: A green circle. Upated Icon as of 1.2: A black circle.
"

uuid,edition,version,description,author,releaseDate,column
c824e64c-3de2-4eff-88b9-cb5b2d3836a8,,v1.0,,,0,0
6421877b-beb8-449f-8df0-2fa645d4fa42,,v1.1,,,0,1
5e1c7ab0-585d-4218-87fe-cdd088b7c0e3,,v1.2,,,0,2
4c6f575c-4eb5-42f4-9499-936437f3196e,,v1.3,,,0,3

uuid,suite,text,draw,pick,c824e64c-3de2-4eff-88b9-cb5b2d3836a8,6421877b-beb8-449f-8df0-2fa645d4fa42,5e1c7ab0-585d-4218-87fe-cdd088b7c0e3,4c6f575c-4eb5-42f4-9499-936437f3196e
450f3258-93eb-4f11-9c10-c234190fa55e,Prompt,______ be all like ______.,0,2,c824e64c-3de2-4eff-88b9-cb5b2d3836a8,6421877b-beb8-449f-8df0-2fa645d4fa42,5e1c7ab0-585d-4218-87fe-cdd088b7c0e3,
84aaf344-7b3e-4c8c-b49a-1c6058fee29d,Prompt,______: Brought to you by ______.,0,2,,6421877b-beb8-449f-8df0-2fa645d4fa42,5e1c7ab0-585d-4218-87fe-cdd088b7c0e3,4c6f575c-4eb5-42f4-9499-936437f3196e
0a113f65-7733-485b-9d8e-c15aa7720f7f,Prompt,Art isn’t just a painting in a stuffy museum. Art is alive. Art is ______.,0,0,c824e64c-3de2-4eff-88b9-cb5b2d3836a8,6421877b-beb8-449f-8df0-2fa645d4fa42,5e1c7ab0-585d-4218-87fe-cdd088b7c0e3,4c6f575c-4eb5-42f4-9499-936437f3196e
1bf5510b-8a67-4abd-b58c-8ad56b0952fe,Prompt,"As reparations for slavery, all African Americans will receive ______.",0,0,c824e64c-3de2-4eff-88b9-cb5b2d3836a8,6421877b-beb8-449f-8df0-2fa645d4fa42,5e1c7ab0-585d-4218-87fe-cdd088b7c0e3,4c6f575c-4eb5-42f4-9499-936437f3196e
10d76f29-8ae8-4ca1-a326-92e0cc702c61,Prompt,"As Teddy Roosevelt said, the four manly virtues are honor, temperance, industry, and ______.",0,0,c824e64c-3de2-4eff-88b9-cb5b2d3836a8,6421877b-beb8-449f-8df0-2fa645d4fa42,5e1c7ab0-585d-4218-87fe-cdd088b7c0e3,4c6f575c-4eb5-42f4-9499-936437f3196e
48b24192-bd6c-43b7-9a6f-39e223b68e79,Prompt,Awww shit! _____ in da house!,0,0,,,,4c6f575c-4eb5-42f4-9499-936437f3196e
74a4b585-fb49-49cc-a067-3c49000cddac,Prompt,"Best you go back where you came from, now. We don’t take too kindly to ______ in these parts.",0,0,c824e64c-3de2-4eff-88b9-cb5b2d3836a8,6421877b-beb8-449f-8df0-2fa645d4fa42,5e1c7ab0-585d-4218-87fe-cdd088b7c0e3,4c6f575c-4eb5-42f4-9499-936437f3196e
6f81a668-d4d7-4a30-95cb-88a2d4768209,Prompt,CNN breaking news! Scientists discover ______.,0,0,c824e64c-3de2-4eff-88b9-cb5b2d3836a8,6421877b-beb8-449f-8df0-2fa645d4fa42,5e1c7ab0-585d-4218-87fe-cdd088b7c0e3,4c6f575c-4eb5-42f4-9499-936437f3196e
7b553044-6f16-452f-9a3e-449c7007ae50,Prompt,"Coming to Red Lobster® this month, ______.",0,0,c824e64c-3de2-4eff-88b9-cb5b2d3836a8,6421877b-beb8-449f-8df0-2fa645d4fa42,5e1c7ab0-585d-4218-87fe-cdd088b7c0e3,4c6f575c-4eb5-42f4-9499-936437f3196e
b17680a1-7158-4f02-b64b-c871cd680c6a,Prompt,"Congratulations! You have been selected for our summer internship program. While we are unable to offer a salary, we can offer you ______.",0,0,c824e64c-3de2-4eff-88b9-cb5b2d3836a8,6421877b-beb8-449f-8df0-2fa645d4fa42,5e1c7ab0-585d-4218-87fe-cdd088b7c0e3,4c6f575c-4eb5-42f4-9499-936437f3196e
eb43549e-2a41-4ecb-8e37-85c968fc9ce4,Prompt,"Dance like there’s nobody watching, love like you’ll never be hurt, and live like you’re ______.",0,0,c824e64c-3de2-4eff-88b9-cb5b2d3836a8,6421877b-beb8-449f-8df0-2fa645d4fa42,5e1c7ab0-585d-4218-87fe-cdd088b7c0e3,4c6f575c-4eb5-42f4-9499-936437f3196e
ad86f853-f27c-469a-94b7-75261f5ee55e,Prompt,Errbody in the club ______.,0,0,c824e64c-3de2-4eff-88b9-cb5b2d3836a8,6421877b-beb8-449f-8df0-2fa645d4fa42,5e1c7ab0-585d-4218-87fe-cdd088b7c0e3,4c6f575c-4eb5-42f4-9499-936437f3196e
843e09b0-d3ad-4289-a0f6-1129c8c9a32f,Prompt,Feeling so grateful! #amazing #mylife #______.,0,0,c824e64c-3de2-4eff-88b9-cb5b2d3836a8,6421877b-beb8-449f-8df0-2fa645d4fa42,5e1c7ab0-585d-4218-87fe-cdd088b7c0e3,4c6f575c-4eb5-42f4-9499-936437f3196e
