uuid,name,description
47639e6b-908f-487d-b9f4-331291709011,Blue Box Expansion,"A combination of the Fourth, Fifth, and Sixth Expansions.
Released November 21, 2016.  Icon: A blue triangle.
"

uuid,edition,version,description,author,releaseDate,column
5af68d79-d4da-434d-a68c-0c22437fee6b,,v1.0,,,0,0
cc6795b7-da58-4a6a-90ce-9c7d1a558e58,,v1.1,,,0,1
defba22f-460d-423c-9cff-55a28a5b9e9d,,v1.2,,,0,2
d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,,v1.3,,,0,3
63789969-a5ae-49dc-a690-422651063710,,v1.4,,,0,4

uuid,suite,text,draw,pick,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
8ec86eb0-d866-4be9-b5d4-ccb26343c233,Prompt,"______ may pass, but ______ will last forever.",0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
55158b34-7be4-4b54-a404-d273dac73ab6,Prompt,______ will never be the same after ______.,0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
43d5bc45-8b17-4c5b-ab07-c2752c3eb0db,Prompt,"""This is madness."" ""No, THIS IS ______!""",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,
dd2deabb-9d7a-455d-ae17-b1c8fe35e96d,Prompt,"2 AM in the city that never sleeps. The door swings open and she walks in, legs up to here. Something in her eyes tells me she's looking for ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
c666dd7e-484a-45bc-b8a9-8436304c408d,Prompt,"Adventure. Romance. ______. From Paramount Pictures, ""______.""",0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
38c7c6ac-af05-40be-8806-4e1c076cf200,Prompt,And today's soup is Cream of ______.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
23a66919-d01a-4349-a42a-2c62439c8ed8,Prompt,"And would you like those buffalo wings mild, hot, or ______?",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
3d7d6e94-254b-413d-86cf-b20e6d9e8f4e,Prompt,"Armani suit: $1,000. Dinner for two at that swanky restaurant: $300. The look on her face when you surprise her with ______: priceless.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
93dc886a-d507-4d90-b78c-82fafe925921,Prompt,"As king, how will I keep the peasants in line?",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
66c4e19a-2b98-4b30-9bc9-9ac16616eb96,Prompt,"Attention Target shoppers. Unfortunately, we will be closing early due to ______.",0,0,,,,,63789969-a5ae-49dc-a690-422651063710
cf68c5ea-29a0-462f-8eb0-6719ea677bca,Prompt,Behind every powerful man is ______.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
6f62689b-3a33-481f-af18-43cb0d37a303,Prompt,"Bitch, you're nasty. You're disgusting. You're _______. Go home, bitch.",0,0,,,,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
