uuid,name,description
4dfb0089-965d-4289-b2b9-b356d71552ca,Cards Against Humanity: Fourth Expansion,"Released November 21, 2013. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Blue Box Expansion. Icon: The number ""4"". "

uuid,edition,version,description,author,releaseDate,column
07c54d11-af9c-4e90-880e-fe139cd751a4,,v1.0,,,0,0
4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb,,v1.1,,,0,1

uuid,suite,text,draw,pick,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
145fcc06-de89-416f-b297-e5748a4ea136,Prompt,"______ may pass, but ______ will last forever.",0,2,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
f3e8e34f-6294-4eef-8a1b-0bf2fb4498c9,Prompt,______ will never be the same after ______.,0,2,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
c8aafed0-1e1b-480e-ab79-119b71494b6a,Prompt,"2 AM in the city that never sleeps. The door swings open and she walks in, legs up to here. Something in her eyes tells me she's looking for ______.",0,0,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
c0d2f43e-c04d-4d5f-bad6-29c782d19dea,Prompt,"Adventure. Romance. ______. From Paramount Pictures, ""______.""",0,2,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
a0bdb7cb-9c4e-4690-84d5-a8ebd62d4c78,Prompt,"Alright, bros. Our frat house is condemned, and all the hot slampieces are over at Gamma Phi. The time has come to commence Operation ______.",0,0,07c54d11-af9c-4e90-880e-fe139cd751a4,
a825c0c1-28fd-4905-a4b5-17ef480406cd,Prompt,"As king, how will I keep the peasants in line?",0,0,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
02258f30-c0c1-4997-9723-16e66f0e9b8a,Prompt,"Dammit, Gary.  You can't just solve every problem with ______.",0,0,,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
6983ff12-ef85-4a5c-9e20-2530160f3337,Prompt,"Dear Leader Kim Jong-un, our village praises your infinite wisdom with a humble offering of ______.",0,0,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
bc039136-26dd-4367-822f-1317e4bebff9,Prompt,Do not fuck with me! I am literally ______ right now.,0,0,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
9bb29184-828e-4e2e-bad8-51b65f37bae1,Prompt,Every step towards ______ gets me a little bit closer to ______.,0,2,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
aa0596ad-4c91-4d01-be1c-7726b954df58,Prompt,"Forget everything you know about ______, because now we've supercharged it with ______!",0,2,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
7076758b-4135-4737-9b58-c20bb2383472,Prompt,"Honey, I have a new role-play I want to try tonight! You can be ______, and I'll be ______.",0,2,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
24000924-cf79-49de-bbcd-7bc9e74295d6,Prompt,How am I compensating for my tiny penis?,0,0,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
07f4ba62-5082-4e60-b8f4-ee7c47b7c179,Prompt,"I am become ______, destroyer of ______!",0,2,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
a2e43b59-79ec-405c-8bac-238bfc08c777,Prompt,"I'm pretty sure I'm high right now, because I'm absolutely mesmerized by ______.",0,0,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
88a172c6-854d-4bae-a63b-a18f8b74ae22,Prompt,"I'm sorry, sir, but we don't allow ______ at the country club.",0,0,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
e968fe50-a46f-4ca4-96c7-79237bf1a78a,Prompt,"If you can't handle ______, you'd better stay away from ______.",0,2,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
20329274-81e7-4f4c-b2f5-7667ec148bb4,Prompt,"In return for my soul, the Devil promised me ______, but all I got was ______.",0,2,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
d1012c50-5eb1-4744-8b02-41302ebafcca,Prompt,"In the beginning, there was ______. And the Lord said, ""Let there be ______.""",0,2,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
3b9a68cf-4b5b-4d59-83e7-afde0b90a8f7,Prompt,"It lurks in the night. It hungers for flesh. This summer, no one is safe from ______.",0,0,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
8a5db42f-cb01-4dac-86dc-19516ab20f85,Prompt,"Man, this is bullshit. Fuck ______.",0,0,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
f13e3a85-674e-497e-bc91-40dbc0a6806a,Prompt,"Oprah's book of the month is ""______ For ______: A Story of Hope.""",0,2,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
d2b3f36c-7836-48b8-819d-b0565e9ec5e1,Prompt,She's up all night for good fun. I'm up all night for ______.,0,0,07c54d11-af9c-4e90-880e-fe139cd751a4,4f52e5cf-60cc-49ae-b8f2-010bdc1b0fbb
