uuid,name,description
668aebe7-5c66-4da3-be6e-a7f0befe833a,Cards Against Humanity: Fourth Expansion,"Released November 21, 2013. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Blue Box Expansion. Icon: The number ""4"". "

uuid,edition,version,description,author,releaseDate,column
8dbf5d89-cd45-413c-a838-b86dcd0606e9,,v1.0,,,0,0
a2e1dd01-f94d-49d0-b61f-ca143d78827b,,v1.1,,,0,1

uuid,suite,text,draw,pick,8dbf5d89-cd45-413c-a838-b86dcd0606e9,a2e1dd01-f94d-49d0-b61f-ca143d78827b
eca467d6-c115-4d77-9f71-3f0b206f7581,Prompt,"______ may pass, but ______ will last forever.",0,2,8dbf5d89-cd45-413c-a838-b86dcd0606e9,a2e1dd01-f94d-49d0-b61f-ca143d78827b
972ec62d-8528-46df-84d2-316e6ecd735e,Prompt,______ will never be the same after ______.,0,2,8dbf5d89-cd45-413c-a838-b86dcd0606e9,a2e1dd01-f94d-49d0-b61f-ca143d78827b
9a7925cb-be62-4951-a259-ced4a4b37074,Prompt,"2 AM in the city that never sleeps. The door swings open and she walks in, legs up to here. Something in her eyes tells me she's looking for ______.",0,0,8dbf5d89-cd45-413c-a838-b86dcd0606e9,a2e1dd01-f94d-49d0-b61f-ca143d78827b
db8477da-00ba-4694-b065-b80702bd6527,Prompt,"Adventure. Romance. ______. From Paramount Pictures, ""______.""",0,2,8dbf5d89-cd45-413c-a838-b86dcd0606e9,a2e1dd01-f94d-49d0-b61f-ca143d78827b
c2767e2a-0c84-44a9-8cf8-95f92fc90a22,Prompt,"Alright, bros. Our frat house is condemned, and all the hot slampieces are over at Gamma Phi. The time has come to commence Operation ______.",0,0,8dbf5d89-cd45-413c-a838-b86dcd0606e9,
4c032a9c-a45c-4a78-b234-4ec077a5e493,Prompt,"As king, how will I keep the peasants in line?",0,0,8dbf5d89-cd45-413c-a838-b86dcd0606e9,a2e1dd01-f94d-49d0-b61f-ca143d78827b
c17c31fd-df64-4aa2-92a4-ff98d22a5d06,Prompt,"Dammit, Gary.  You can't just solve every problem with ______.",0,0,,a2e1dd01-f94d-49d0-b61f-ca143d78827b
ac88f3ee-bacb-4957-8ff9-d73f29457a81,Prompt,"Dear Leader Kim Jong-un, our village praises your infinite wisdom with a humble offering of ______.",0,0,8dbf5d89-cd45-413c-a838-b86dcd0606e9,a2e1dd01-f94d-49d0-b61f-ca143d78827b
28e52d9d-b19d-4df7-b5c1-203730b3289b,Prompt,Do not fuck with me! I am literally ______ right now.,0,0,8dbf5d89-cd45-413c-a838-b86dcd0606e9,a2e1dd01-f94d-49d0-b61f-ca143d78827b
0ae71d55-34b6-4ce1-a3aa-2cf0d64d1f83,Prompt,Every step towards ______ gets me a little bit closer to ______.,0,2,8dbf5d89-cd45-413c-a838-b86dcd0606e9,a2e1dd01-f94d-49d0-b61f-ca143d78827b
4d5e7f45-98a3-42e0-8aed-15b298031eb0,Prompt,"Forget everything you know about ______, because now we've supercharged it with ______!",0,2,8dbf5d89-cd45-413c-a838-b86dcd0606e9,a2e1dd01-f94d-49d0-b61f-ca143d78827b
51c21908-d047-4470-b241-45f47304fdee,Prompt,"Honey, I have a new role-play I want to try tonight! You can be ______, and I'll be ______.",0,2,8dbf5d89-cd45-413c-a838-b86dcd0606e9,a2e1dd01-f94d-49d0-b61f-ca143d78827b
4ebf482d-1ce8-44b5-ac88-d9f3d3393d53,Prompt,How am I compensating for my tiny penis?,0,0,8dbf5d89-cd45-413c-a838-b86dcd0606e9,a2e1dd01-f94d-49d0-b61f-ca143d78827b
f4f19294-e856-457c-b576-1c835140c746,Prompt,"I am become ______, destroyer of ______!",0,2,8dbf5d89-cd45-413c-a838-b86dcd0606e9,a2e1dd01-f94d-49d0-b61f-ca143d78827b
