uuid,name,description
6b6fdd91-30ce-4e3a-a92b-2082bc016ca4,Green Box Expansion,"Released November 21, 2016. Icon: A green circle. Upated Icon as of 1.2: A black circle.
"

uuid,edition,version,description,author,releaseDate,column
69910414-0cbf-4187-b618-e6da35ee5779,,v1.0,,,0,0
f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,,v1.1,,,0,1
e1de0cb6-0496-43f9-a743-87aeb66ce19e,,v1.2,,,0,2
cf43f198-49f8-4211-a829-ea6ad993e61f,,v1.3,,,0,3

uuid,suite,text,draw,pick,69910414-0cbf-4187-b618-e6da35ee5779,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,cf43f198-49f8-4211-a829-ea6ad993e61f
9c80213a-fa60-434e-897c-8e97ed8398c4,Prompt,______ be all like ______.,0,2,69910414-0cbf-4187-b618-e6da35ee5779,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,
08daefbc-4d9f-405a-bc1d-dc73ecb344bf,Prompt,______: Brought to you by ______.,0,2,,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,cf43f198-49f8-4211-a829-ea6ad993e61f
6cddb97f-07bb-4ce6-9080-597afb661a26,Prompt,Art isn’t just a painting in a stuffy museum. Art is alive. Art is ______.,0,0,69910414-0cbf-4187-b618-e6da35ee5779,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,cf43f198-49f8-4211-a829-ea6ad993e61f
5eaa601e-2aa8-4e30-94ee-3c80f7049fbb,Prompt,"As reparations for slavery, all African Americans will receive ______.",0,0,69910414-0cbf-4187-b618-e6da35ee5779,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,cf43f198-49f8-4211-a829-ea6ad993e61f
dc7c03c7-ad42-4e4e-82c7-10352f9c0455,Prompt,"As Teddy Roosevelt said, the four manly virtues are honor, temperance, industry, and ______.",0,0,69910414-0cbf-4187-b618-e6da35ee5779,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,cf43f198-49f8-4211-a829-ea6ad993e61f
cd9221e7-b378-4e27-bb69-a2efe97353c7,Prompt,Awww shit! _____ in da house!,0,0,,,,cf43f198-49f8-4211-a829-ea6ad993e61f
cf34665c-5f97-43b1-9f0c-9f5967fd0758,Prompt,"Best you go back where you came from, now. We don’t take too kindly to ______ in these parts.",0,0,69910414-0cbf-4187-b618-e6da35ee5779,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,cf43f198-49f8-4211-a829-ea6ad993e61f
6744c94c-3354-47fc-aa60-acfac70ae2c6,Prompt,CNN breaking news! Scientists discover ______.,0,0,69910414-0cbf-4187-b618-e6da35ee5779,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,cf43f198-49f8-4211-a829-ea6ad993e61f
248e5516-dad9-4e35-8c2e-87c748e13c41,Prompt,"Coming to Red Lobster® this month, ______.",0,0,69910414-0cbf-4187-b618-e6da35ee5779,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,cf43f198-49f8-4211-a829-ea6ad993e61f
ff438b1f-c612-4f88-b220-eca07b53c88c,Prompt,"Congratulations! You have been selected for our summer internship program. While we are unable to offer a salary, we can offer you ______.",0,0,69910414-0cbf-4187-b618-e6da35ee5779,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,cf43f198-49f8-4211-a829-ea6ad993e61f
d8d0db2f-9dec-4310-9999-e5d37aa1bbbc,Prompt,"Dance like there’s nobody watching, love like you’ll never be hurt, and live like you’re ______.",0,0,69910414-0cbf-4187-b618-e6da35ee5779,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,cf43f198-49f8-4211-a829-ea6ad993e61f
0f41ed94-8845-4930-ba0c-88396afc002a,Prompt,Errbody in the club ______.,0,0,69910414-0cbf-4187-b618-e6da35ee5779,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,cf43f198-49f8-4211-a829-ea6ad993e61f
f46971db-7392-42ae-b7a5-3cd19a65a70c,Prompt,Feeling so grateful! #amazing #mylife #______.,0,0,69910414-0cbf-4187-b618-e6da35ee5779,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,cf43f198-49f8-4211-a829-ea6ad993e61f
e6a72ee8-e4bf-45ca-b91b-8e955e46a3d2,Prompt,Girls just wanna have ______.,0,0,69910414-0cbf-4187-b618-e6da35ee5779,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,cf43f198-49f8-4211-a829-ea6ad993e61f
916ffb45-cd60-46aa-acad-f387093b4f82,Prompt,Google Calendar alert: ______ in 10 minutes.,0,0,69910414-0cbf-4187-b618-e6da35ee5779,f130b2b8-cc88-4d7f-a42b-f24d1a3fc83b,e1de0cb6-0496-43f9-a743-87aeb66ce19e,cf43f198-49f8-4211-a829-ea6ad993e61f
