uuid,name,description
6d452971-8969-46cc-9951-05cfeb2a0f32,Cards Against Humanity: Second Expansion,"Released August 31, 2012. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""2"". "

uuid,edition,version,description,author,releaseDate,column
a22c54ec-479e-4bfb-99f9-98b20a707bd0,,v1.0,,,0,0
6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,,v1.1,,,0,1
6305cd4d-3545-485f-a51a-de12b356d422,,v1.2,,,0,2
f00eddd6-e38b-4cce-88db-ff2a05c09df1,,v1.3,,,0,3
70adbc94-5709-442c-863d-629e6d1931bc,,v1.4,,,0,4

uuid,suite,text,draw,pick,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
67d0713f-7d4a-4504-a6b5-b595909a5b8a,Prompt,______ would be woefully incomplete without ______.,0,2,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
bb28394d-4103-4b85-aaa5-91eced282a17,Prompt,A remarkable new study has shown that chimps have evolved their own primitive version of ______.,0,0,,,,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
f9d55746-642e-49ff-a2e3-f542579d31e0,Prompt,"After months of debate, the Occupy Wall Street General Assembly could only agree on ""More ______!""",0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,,
d6ada929-942e-4e72-94e1-4cba7d98b6f0,Prompt,"Before ______, all we had was ______.",0,2,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
8d785309-89cd-4625-b739-b286fe538e13,Prompt,"Before I run for president, I must destroy all evidence of my involvement with ______.",0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
b1a77c22-6808-4493-906d-cbf75132f240,Prompt,Charades was ruined for me forever when my mom had to act out ______.,0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
5795c8c8-3821-41e0-885c-56dcf82da9a1,Prompt,"During his midlife crisis, my dad got really into ______.",0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
4150e9ab-0166-44cf-a428-1769419bc67a,Prompt,Everyone down on the ground! We don't want to hurt anyone. We're just here for ______.,0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,
c607f0f4-d836-4166-8694-4cab3196d1eb,Prompt,"I spent my whole life working toward ______, only to have it ruined by ______.",0,2,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
7ceba98c-5cc6-4c62-9bf4-f49ee0b8d124,Prompt,"I went from ______ to ______, all thanks to ______.",2,3,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
7c93b82b-3a6b-40c0-9e6b-04046c63d6fc,Prompt,"If God didn't want us to enjoy ______, he wouldn't have given us ______.",0,2,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
a88d3616-cc69-49c5-91b9-4b24216886b0,Prompt,"In his newest and most difficult stunt, David Blaine must escape from ______.",0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
0beca25a-426d-4bee-8ddd-d0b0c5312dc0,Prompt,"Little Miss Muffet Sat on a tuffet, Eating her curds and ______.",0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
e1804b2a-1a8c-44b5-a5b1-241c834d7b99,Prompt,Members of New York's social elite are paying thousands of dollars just to experience ______.,0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
ffbb13fe-814e-4f32-ab0f-1015703468a1,Prompt,"My country, 'tis of thee, sweet land of ______.",0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
734d2afd-5731-4569-a675-0067a08d13b5,Prompt,My mom freaked out when she looked at my browser history and found ______.com/______.,0,2,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
45f75a56-583f-4a3c-bf0a-350df63b0be0,Prompt,"My new favorite porn star is Joey ""______"" McGee.",0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
64bf1bde-a935-41e1-b437-75abea200b41,Prompt,Next time on Dr. Phil: How to talk to your child about ______.,0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
88e327f5-b238-4da1-b4da-3f7461a0411d,Prompt,Only two things in life are certain: death and ______.,0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
03de9f90-4460-4b7b-aad6-9623118d30fa,Prompt,"The Five Stages of Grief: denial, anger, bargaining, ______, acceptance.",0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
0ba1129b-ef66-48a1-8215-a66ab1c680db,Prompt,The healing process began when I joined a support group for victims of ______.,0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
57bbff2c-0e48-455f-9d57-216930851061,Prompt,"The votes are in, and the new high school mascot is ______.",0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,,
40cd2066-0827-4e96-9d19-11b4c0a4b6b7,Prompt,This is your captain speaking. Fasten your seatbelts and prepare for ______.,0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
bd814ef7-3937-4c9b-8f00-ed64d358aae1,Prompt,"This month's Cosmo: ""Spice up your sex life by bringing ______ into the bedroom.""",0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
1551dd21-c7bc-479c-b160-0b990391a210,Prompt,Tonight on 20/20: What you don't know about ______ could kill you.,0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
8130dac6-188f-4776-a867-1bd29459408a,Prompt,"What's harshing my mellow, man?",0,0,,,,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
118857aa-e5e6-4182-967c-498744a2aaf8,Prompt,You haven't truly lived until you've experienced ______ and ______ at the same time.,0,2,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
5a2f782f-1af8-4b22-b4ad-9f47af91e9fc,Prompt,"Your persistence is admirable, my dear Prince. But you cannot win my heart with ______ alone.",0,0,,,,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
e1259044-82f2-4a90-8137-9e53c059acfa,Response,A 55-gallon drum of lube.,0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
0dfa015a-d55b-4809-aae6-22b2605fe276,Response,"A bigger, blacker dick.",0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
c1416b70-739a-4df4-9257-048d1171b6ae,Response,A Burmese tiger pit.,0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
c6c7aba1-6fd9-445f-bf4f-bc2b0cc3ea21,Response,A dollop of sour cream.,0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
3e1cd68a-5219-444b-b517-83103c859e83,Response,A fortuitous turnip harvest.,0,0,,,,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
47c845bd-252b-435b-8b23-4807e58201e5,Response,A magic hippie love cloud.,0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
1908efdf-5939-409e-a475-3c65c30ff12f,Response,A man in yoga pants with a ponytail and feather earrings.,0,0,a22c54ec-479e-4bfb-99f9-98b20a707bd0,6626f057-b0cf-4e3e-aaf3-c8d1c1f59401,6305cd4d-3545-485f-a51a-de12b356d422,f00eddd6-e38b-4cce-88db-ff2a05c09df1,70adbc94-5709-442c-863d-629e6d1931bc
