uuid,name,description
84e7c3a0-bb2a-4770-827c-1c7c88a5f48b,Cards Against Humanity- Family Edition,"Cards Against Humanity: Family Edition is a new party game that’s just like Cards Against Humanity, except it’s written for kids and adults to play together. Each round, one player asks a question from a black card, and everyone else answers with their funniest white card. We didn’t just take the adult stuff out of the original game: we wrote a whole new game from scratch and tested it with thousands of families. If you like to laugh at stuff like “filling my butt with spaghetti,” this is the game for you. If you don’t, go fill your butt with spaghetti!
Release Date: April 2, 2020 (during COVID Stay at Home orders)"

uuid,edition,version,description,author,releaseDate,column
99071c49-a017-4ee9-8ff9-5d958aea4840,,DRAFT,,,0,0
103bafa8-7bd9-475f-aaa6-b3a9265f7ffe,,v1.0,,,0,1

uuid,suite,text,draw,pick,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
554944c0-b7b5-4abd-9486-625f705992d3,Prompt,_______? No.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,
bfaeac19-7faf-45ff-9080-7603f0c7fd31,Prompt,"""One nation,
under God,
indivisible,
with liberty and
______
for all.""",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
09489bb0-0682-44db-91c1-552d7cfd4a1d,Prompt,All I want for Christmas is _______ .,0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
84553731-95cb-4d92-9880-fc9b012adfd5,Prompt,"Alright, which one of you little terds is responsible for ______?!",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
304a7637-5095-4d07-a7a4-edae4c7a95a7,Prompt,"And in the blue corner, weighing in at 280 pounds, it's Tommy ""_______"" Takahashi!",0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
7c0afed1-64ef-4ae2-8c6b-2937e311ffcb,Prompt,"And over here is Picasso's famous painting, ""portrait of _______.""",0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
1b145a6d-3fdc-43a2-bde9-a0afd1a70c4c,Prompt,"At school, I'm just Mandy. But at summer camp, I'm ""______ Mandy.""",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,
7b8a33aa-9e82-4f7b-ac4f-c0b70ed5202b,Prompt,Attention students. This is Principal Butthead. Please remember that we do not allow ______ in the hallway. Thank you.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
67000f0d-3b54-4a20-adf3-2da55b09b887,Prompt,Beep beep! ______ coming through!,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
3d745731-86ad-437b-a750-d30959531076,Prompt,"Before I attend your sleepover, I must inform you: toys bore me, and I don't care for sweets. I prefer _______.",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,
0f9e8532-07bc-4929-88cc-9ed1611dc09a,Prompt,"Bow before me, for I am the Queen of ______!",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
0a889a91-ffdf-429d-adc1-165ab35b0108,Prompt,Boys? No. ______? Yes!,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
79b002e1-091a-499f-b356-f0ee047721ae,Prompt,Charmander has evolved into _______!,0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
b887d2d7-53c6-4489-8b3f-988c2773d540,Prompt,"CHUNGO ANGERY.
CHUNGO
DESTROY ______.",0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
377a193e-47b8-4ddd-a151-cccaebaba10c,Prompt,CHUNGO FEEL SICK. CHUNGO NO LIKE ______ ANYMORE.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
6ea8a4e5-208f-42c3-8779-122032560a0c,Prompt,"Class, pay close attention. I will now demonstrate the physics of ______.",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
25c3efb8-a6b3-4be0-8c59-47a903539637,Prompt,CNN breaking news! Over of Americans _______.,0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
83afe02a-fb50-49a2-b38d-5e3da1109515,Prompt,"Come on, Danny. All the cool kids are doin' it. Wanna try _______?",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,
bf6a0a92-c304-4bce-b93f-50df9297dd96,Prompt,"Come with me, and I will show you a world of ______.",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,
42d1f01b-ee56-4534-bfd0-af8eec98f6c2,Prompt,Coming soon! Batman vs. ______.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
5f61074c-5be5-4141-b135-c9a93e48cfb4,Prompt,"Coming to theaters this holiday season, ""Star Wars: The Rise of ______.""",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
82a28315-e7b2-4294-960c-4e76ace43792,Prompt,Did you know that Benjamin Franklin invented ______?,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
9b6f870a-e6e3-44a4-b3b1-a76f6cf260d0,Prompt,"Disney Proudly presents ""_______ in Ice.""",0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
f7b015d9-31aa-4f6c-9837-a19716ba25e7,Prompt,ENOUGH! I will not let ______ tear this family apart!,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
a1f3f746-73af-4482-ac8f-54d51deb4e3a,Prompt,Ew. Grandpa smells like _______.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
473d81c7-ddac-4867-b1e7-550f379f2b46,Prompt,Foolish child! Did you think you could escape from ______?,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
a17123aa-eff9-42a7-9a8f-61c8d5ffea83,Prompt,Girls just wanna have ______.,0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
19c12a4b-d667-4154-b45f-6223f65b22e8,Prompt,"Guys, stop it! There's nothing funny about ______.",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
796a374e-14c6-4f05-8bf3-951bf5b25bf5,Prompt,Hey guys. I just want to tell all my followers who are struggling with ______: it DOES get better.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
9d482d1f-b187-4431-a9a3-0ba61e3425d7,Prompt,"Hey Riley, I'll give you five bucks if you try _______.",0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
d9fd42be-b5b4-48b9-8081-e2400b6a0689,Prompt,"Hey, check out my band! We're called ""Rage Against ______.""",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
f32c5ce3-fffc-49a7-a023-ae27f73623ff,Prompt,"Hey, kids. I'm Sensei Todd. Today, I'm gonna teach you how to defend yourself against ______.",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
70b1b90f-5fa8-4eb3-9af2-cb4c9ae98e45,Prompt,"Huddle up, Wildcats! They may be bigger. They may be faster. But we've got a secret weapon: ______.",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
81f1f764-8c45-40ab-a8b9-215f66d85d02,Prompt,"I do not fight for wealth.
I do not fight for glory.
I fight for _______!",0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
a60c157a-551d-407e-ac03-807e65004885,Prompt,"I don't really know what my mom's job is, but I think it has something to do with ______.",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
824eee13-5eb5-4e4e-8452-8046729dba17,Prompt,"I have invented a new sport. I call it ""______ ball.""",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,
d026bba2-9203-4aab-b906-67676f3c9491,Prompt,I lost my arm in a ______ accident.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
1d13cee6-8f20-421b-a723-20efac5f8692,Prompt,"I'm not like other children. toys bore mr , and I don't care for sweets. I prefer ______.",0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
29910fdb-b37a-43fb-bd34-8e2991ccf8ba,Prompt,"I'm sorry, Jorden but that's not an acceptable Science Fair project. That's just _______.",0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
60991532-7f98-44b0-a1de-fe15edf27c82,Prompt,"I'm sorry, Mrs Sanchez, but I couldn't finish my homework because of ______.",0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
b5475be6-cd1f-4f66-8f4c-e201b34c8efb,Prompt,"Isn't this great, honey? Just you, me, the kids, and _______.",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
4fd952e7-e60d-4a16-a833-f8cd4b3a6e08,Prompt,"It's BIG.
It's SCARY.
It's _______!",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
1c99f533-a9c2-4774-9cd5-c2ac5e6a166c,Prompt,"James Bond will return in ""No Time for _______.""",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
7fe88f42-7084-4711-87a2-f11577de3f02,Prompt,"Joey, look out behind you! It's ______!",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,
977be7ca-e7db-4f3b-bbf2-e6954544c5e6,Prompt,"Kids, Dad is trying something new this week. It's called ""______"".",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
0acad90b-7eac-4539-82a3-89a8b698d757,Prompt,"Ladies and gentlemen, I have discovered something amazing. I have discovered ______.",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
ccf59285-96d4-4e49-891e-8b444fe98277,Prompt,Little Miss Muffet Sat on a tuffet Eating her curds and ______.,0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
d77fae51-88ad-4244-84b1-ac89d3df0bc2,Prompt,"Madam President, we've run out of time. The only option is ________.",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
6a54a4f5-e2ed-455f-964c-7a999f7353bc,Prompt,Me and my friends don't play with dolls anymore. We're into ______ now.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
ea5b79d2-5a51-4043-8221-d26da0495d24,Prompt,ME HUNGRY. ME WANT _______.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
66f9ac4d-66b2-4d04-b776-cdb8594550e7,Prompt,Mom? You have to come pick me up! There's ______ at this party.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
ddf56319-e942-4db4-a832-70ebfc9dc984,Prompt,Moms love ______.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
604d94dd-2810-4af4-9e9b-6225a45aadde,Prompt,My dad and I enjoy ______ together.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
4c67474a-1f2b-4726-9939-6df5f2cfa91a,Prompt,"My favorite book is ""The Amazing Adventures of ______.""",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,
240488db-022f-46da-ae32-72015fae72cb,Prompt,"My favorite dinosaur is ""______asaurus.""",0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
08a1e955-4a18-469b-aade-0506a5f34bec,Prompt,MY NAME IS CHUNGO. CHUNGO LOVE ______.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
f860de2a-8b6e-4d4e-b71d-737048f18193,Prompt,"My name is Peter Parker. I was bitten by a radioactive spider, and now I'm ______.",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
adfe9d78-003d-4058-95e2-3bfab2bcf4ba,Prompt,"Never fear, Captain ______ is here!",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
447847ba-ad0f-40bc-b863-12e82f4787e9,Prompt,"New from Mattel! It's BUNGO: The Game of ______.""",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
038470a1-06e0-42b7-9d57-541c2340ff6d,Prompt,Next from J.K. Rowling: Harry Potter and the Chamber of ______.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
cf5e01b6-b17c-4226-9382-c5827cee2905,Prompt,"No fair! How come Chloe gets her own phone, and allI get is ______?",0,0,,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
88c2b7be-09ed-4e95-b2b6-45cd9cefdd49,Prompt,Now in bookstores: Nancy Drew and the Mystery of ______.,0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
184d92e2-6058-4191-911a-a31ac6c68383,Prompt,"Oh Dark Lord, we show our devotion with a humble offering of ______!",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
9f5736c6-74f7-4fa6-a76f-71c48d4d5ac3,Prompt,"Oh, no thank you, Mrs. Lee. I've had plenty of ______ for now.",0,0,99071c49-a017-4ee9-8ff9-5d958aea4840,103bafa8-7bd9-475f-aaa6-b3a9265f7ffe
