uuid,name,description
8998cb3a-e046-49bd-b1d7-ceda5d38737a,Cards Against Humanity: Second Expansion,"Released August 31, 2012. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""2"". "

uuid,edition,version,description,author,releaseDate,column
3d591600-3b72-467e-9627-a18a068d6fe4,,v1.0,,,0,0
79e9a673-b526-4811-a879-fa7abc68bba9,,v1.1,,,0,1
64fa2654-c23d-4305-ba10-318657327dea,,v1.2,,,0,2
84dc0674-5696-4c5b-88d6-306b2d547a63,,v1.3,,,0,3
75bc6494-1a88-4e8c-8520-bb6403b5e9cb,,v1.4,,,0,4

uuid,suite,text,draw,pick,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
3accbb54-9d11-49fe-82aa-b59a1c46ad0a,Prompt,______ would be woefully incomplete without ______.,0,2,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
ad749e52-3a8b-4c60-9005-2967c200033e,Prompt,A remarkable new study has shown that chimps have evolved their own primitive version of ______.,0,0,,,,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
a1c7a8fe-5ae8-4d3c-ad42-6e3a3e024656,Prompt,"After months of debate, the Occupy Wall Street General Assembly could only agree on ""More ______!""",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,,
95420fc5-e459-4848-88c5-59d3f3378b88,Prompt,"Before ______, all we had was ______.",0,2,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
6a98ef76-2aec-4180-857f-64db944417a5,Prompt,"Before I run for president, I must destroy all evidence of my involvement with ______.",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
97fb4461-a621-4562-852e-8509697f98f4,Prompt,Charades was ruined for me forever when my mom had to act out ______.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
45ecea50-0627-4566-ae03-91a9471fcf14,Prompt,"During his midlife crisis, my dad got really into ______.",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
4d0518ae-edfd-4a79-ba9d-2cff43e3de5b,Prompt,Everyone down on the ground! We don't want to hurt anyone. We're just here for ______.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,
da8ceb78-4ceb-48c4-8100-faefbc097882,Prompt,"I spent my whole life working toward ______, only to have it ruined by ______.",0,2,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
fa81abac-4b65-4549-9fdc-eb618b518542,Prompt,"I went from ______ to ______, all thanks to ______.",2,3,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
583d5c01-9a91-4a90-a395-2bd018facd40,Prompt,"If God didn't want us to enjoy ______, he wouldn't have given us ______.",0,2,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
ff9892cb-0b33-4a38-822e-c22c61c08abc,Prompt,"In his newest and most difficult stunt, David Blaine must escape from ______.",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
ec95911b-3c9f-431a-b248-3ac94196a5c6,Prompt,"Little Miss Muffet Sat on a tuffet, Eating her curds and ______.",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
371ee691-e5c7-417a-8120-a8745a157b21,Prompt,Members of New York's social elite are paying thousands of dollars just to experience ______.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
a9e98bdb-8ed0-43e3-a6e3-26bbca6b62a0,Prompt,"My country, 'tis of thee, sweet land of ______.",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
3012cd0d-5251-4aa7-bf33-19985e0358bc,Prompt,My mom freaked out when she looked at my browser history and found ______.com/______.,0,2,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
d8be1f67-ffe5-4a0b-b375-bff551ceaf3d,Prompt,"My new favorite porn star is Joey ""______"" McGee.",0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
b37bcf81-5de6-48ca-86a7-138bbd8e1cd9,Prompt,Next time on Dr. Phil: How to talk to your child about ______.,0,0,3d591600-3b72-467e-9627-a18a068d6fe4,79e9a673-b526-4811-a879-fa7abc68bba9,64fa2654-c23d-4305-ba10-318657327dea,84dc0674-5696-4c5b-88d6-306b2d547a63,75bc6494-1a88-4e8c-8520-bb6403b5e9cb
