uuid,name,description
89aff2d9-be45-4d03-8d01-f884644261e9,Green Box Expansion,"Released November 21, 2016. Icon: A green circle. Upated Icon as of 1.2: A black circle.
"

uuid,edition,version,description,author,releaseDate,column
015a22ce-c732-45a3-9d8b-401e2e821e94,,v1.0,,,0,0
df0f9bd1-b8bd-42ab-ba0c-b366107f976f,,v1.1,,,0,1
8492980b-94bb-4ded-8018-f6340cbc7043,,v1.2,,,0,2
a8a9be8c-e66a-42f5-84f6-1d233575d8d1,,v1.3,,,0,3

uuid,suite,text,draw,pick,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
857bf5a4-e12e-4637-8145-11c6a2f01fe4,Prompt,______ be all like ______.,0,2,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,
fae5968b-6ebf-4f6e-b827-aa65565ea515,Prompt,______: Brought to you by ______.,0,2,,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
af4eaff5-116b-4a64-963f-2655214048a7,Prompt,Art isn’t just a painting in a stuffy museum. Art is alive. Art is ______.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
b07faa74-94f6-4374-9e22-23eb0e510642,Prompt,"As reparations for slavery, all African Americans will receive ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
7d262215-9296-436e-ab83-596dc9aeb0a7,Prompt,"As Teddy Roosevelt said, the four manly virtues are honor, temperance, industry, and ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
cbbf972f-7511-49ab-8807-43982325f6b2,Prompt,Awww shit! _____ in da house!,0,0,,,,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
b79ecc96-5f40-4a37-8cfd-1d4e71416090,Prompt,"Best you go back where you came from, now. We don’t take too kindly to ______ in these parts.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
2e218d16-ffa9-48b1-80a1-7e0f1d80b2d0,Prompt,CNN breaking news! Scientists discover ______.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
992f762a-3b60-4acd-97fd-e13b9fd9b94e,Prompt,"Coming to Red Lobster® this month, ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
dc875703-b291-4acf-9502-a5c7825cd5a4,Prompt,"Congratulations! You have been selected for our summer internship program. While we are unable to offer a salary, we can offer you ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
0af7e130-9994-426e-90c2-889c3a01b72c,Prompt,"Dance like there’s nobody watching, love like you’ll never be hurt, and live like you’re ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
9e26deb4-7e4a-4def-8358-db6e4cdd5999,Prompt,Errbody in the club ______.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
fede2f44-73b4-4d51-aef4-878558a3646f,Prompt,Feeling so grateful! #amazing #mylife #______.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
833bedd7-7551-43e3-a947-107106cca218,Prompt,Girls just wanna have ______.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
b6e057c6-79c2-438a-9f17-4cbeeef5f513,Prompt,Google Calendar alert: ______ in 10 minutes.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
d7f22ae4-6604-40c7-8b45-f45b845ec4bf,Prompt,I don’t believe in God. I believe in ______.,0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
f364a9a1-58e5-4c7b-9dba-fb49a97ef6f8,Prompt,"I got rhythm, I’ve got music, I’ve got ______. Who could ask for anything more?",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
84cc9674-43df-4f8c-8683-ad72b8d6e08a,Prompt,I just took a DNA test. Turns out I'm 100% ______.,0,0,,,,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
2ac4b391-dab2-4690-a3d7-0cbb91d64ad1,Prompt,"I may not be much to look at, but I fuck like ______.",0,0,015a22ce-c732-45a3-9d8b-401e2e821e94,df0f9bd1-b8bd-42ab-ba0c-b366107f976f,8492980b-94bb-4ded-8018-f6340cbc7043,a8a9be8c-e66a-42f5-84f6-1d233575d8d1
