uuid,name,description
8b3dad0f-ff9d-44f1-bcd5-e5d9e7a3ee70,Cards Against Humanity: Fifth Expansion,"Released September 3, 2014. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Blue Box Expansion. Icon: The number ""5"". "

uuid,edition,version,description,author,releaseDate,column
bdb438cc-a3a9-4da1-9247-19e974ec1879,,v1.0,,,0,0
816980d7-06b7-4308-8991-3c4d9f688f73,,v1.1,,,0,1

uuid,suite,text,draw,pick,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
54d946c6-dd9b-47d2-97da-34be504806b5,Prompt,And today's soup is Cream of ______.,0,0,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
4a8d05d3-79c3-4359-bfde-63d106ed4901,Prompt,"Armani suit: $1,000. Dinner for two at that swanky restaurant: $300. The look on her face when you surprise her with ______: priceless.",0,0,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
2c126ddf-995b-4820-a766-a80f452ba25c,Prompt,Do the Dew with our most extreme flavor yet! Get ready for Mountain Dew ______!,0,0,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
d01db449-e9aa-4306-ad64-7a722d9b437a,Prompt,Do you lack energy? Does it sometimes feel like the whole world is ______? Zoloft.,0,0,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
d80acf46-7388-4c26-b941-bdd035e8f91e,Prompt,"Don't forget! Beginning this week, Casual Friday will officially become ""______ Friday.""",0,0,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
44cdb230-8a1f-4855-a435-a992be2db911,Prompt,Get ready for the movie of the summer! One cop plays by the book. The other's only interested in one thing: ______.,0,0,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
fc4252e4-4fea-40ef-a1ba-ef68e2bf3efb,Prompt,Having the worst day EVER. #______,0,0,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
bd3fb040-7b05-4e5e-b9ff-903d4fde50d5,Prompt,"Heed my voice, mortals! I am the god of ______ , and I will not tolerate ______!",0,2,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
c0a16b2e-6925-4bdf-8cd4-2bf891d8c267,Prompt,"Help me doctor, I've got ______ in my butt!",0,0,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
4e237a78-98fe-43d4-a84a-3afb31d4c5ff,Prompt,"Here at the Academy for Gifted Children, we allow students to explore ______ at their own pace.",0,0,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
e568f740-994e-4aa3-b92b-b18db3d580f4,Prompt,"Hi MTV! My name is Kendra, I live in Malibu, I'm into ______, and I love to have a good time.",0,0,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
45e3e110-29b2-44be-ab99-eec24e852dd6,Prompt,"Hi, this is Jim from accounting. We noticed a $1,200 charge labeled ""______."" Can you explain?",0,0,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
4ad40e30-da37-4520-99bf-a252f02f7c1b,Prompt,"I don't mean to brag, but they call me the Micheal Jordan of ______.",0,0,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
e0e29992-6b9e-411c-b6cb-bed1274deaf9,Prompt,"In his farewell address, George Washington famously warned Americans about the dangers of ______.",0,0,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
68ad76ad-17e0-4b78-b3dd-c79cb08aa34d,Prompt,"In his new action comedy, Jackie Chan must fend off ninjas while also dealing with ______.",0,0,bdb438cc-a3a9-4da1-9247-19e974ec1879,816980d7-06b7-4308-8991-3c4d9f688f73
