uuid,name,description
96a7357d-eea0-4ccd-87c8-bfc0ab20ad88,Blue Box Expansion,"A combination of the Fourth, Fifth, and Sixth Expansions.
Released November 21, 2016.  Icon: A blue triangle.
"

uuid,edition,version,description,author,releaseDate,column
b4a636b6-c760-45b1-8126-17cfb59de95c,,v1.0,,,0,0
7ae90887-2052-47a0-8b9d-f060961bbb60,,v1.1,,,0,1
8a2d4bf7-b6b0-417b-8e07-99a41d0ad5e6,,v1.2,,,0,2
73ae7fcd-c5a3-4588-9256-31503cacbc7e,,v1.3,,,0,3
ae4d5bae-7304-49a7-a4fb-f3a176afda92,,v1.4,,,0,4

uuid,suite,text,draw,pick,b4a636b6-c760-45b1-8126-17cfb59de95c,7ae90887-2052-47a0-8b9d-f060961bbb60,8a2d4bf7-b6b0-417b-8e07-99a41d0ad5e6,73ae7fcd-c5a3-4588-9256-31503cacbc7e,ae4d5bae-7304-49a7-a4fb-f3a176afda92
ea7e0de6-d1f4-40d0-8e78-fa86fbfbfd25,Prompt,"______ may pass, but ______ will last forever.",0,2,b4a636b6-c760-45b1-8126-17cfb59de95c,7ae90887-2052-47a0-8b9d-f060961bbb60,8a2d4bf7-b6b0-417b-8e07-99a41d0ad5e6,73ae7fcd-c5a3-4588-9256-31503cacbc7e,ae4d5bae-7304-49a7-a4fb-f3a176afda92
16a1cd6e-3403-4e58-941d-823cc7f3bf9b,Prompt,______ will never be the same after ______.,0,2,b4a636b6-c760-45b1-8126-17cfb59de95c,7ae90887-2052-47a0-8b9d-f060961bbb60,8a2d4bf7-b6b0-417b-8e07-99a41d0ad5e6,73ae7fcd-c5a3-4588-9256-31503cacbc7e,ae4d5bae-7304-49a7-a4fb-f3a176afda92
073f4ce3-e67d-4cde-b150-11d8143a73dd,Prompt,"""This is madness."" ""No, THIS IS ______!""",0,0,b4a636b6-c760-45b1-8126-17cfb59de95c,7ae90887-2052-47a0-8b9d-f060961bbb60,8a2d4bf7-b6b0-417b-8e07-99a41d0ad5e6,73ae7fcd-c5a3-4588-9256-31503cacbc7e,
deafb723-6718-4a8e-8038-24f59eaaf3b6,Prompt,"2 AM in the city that never sleeps. The door swings open and she walks in, legs up to here. Something in her eyes tells me she's looking for ______.",0,0,b4a636b6-c760-45b1-8126-17cfb59de95c,7ae90887-2052-47a0-8b9d-f060961bbb60,8a2d4bf7-b6b0-417b-8e07-99a41d0ad5e6,73ae7fcd-c5a3-4588-9256-31503cacbc7e,ae4d5bae-7304-49a7-a4fb-f3a176afda92
6a404d7f-df06-4592-bf1c-5abbb5af5906,Prompt,"Adventure. Romance. ______. From Paramount Pictures, ""______.""",0,2,b4a636b6-c760-45b1-8126-17cfb59de95c,7ae90887-2052-47a0-8b9d-f060961bbb60,8a2d4bf7-b6b0-417b-8e07-99a41d0ad5e6,73ae7fcd-c5a3-4588-9256-31503cacbc7e,ae4d5bae-7304-49a7-a4fb-f3a176afda92
a9faeed5-ed32-492a-b755-f07c070474e6,Prompt,And today's soup is Cream of ______.,0,0,b4a636b6-c760-45b1-8126-17cfb59de95c,7ae90887-2052-47a0-8b9d-f060961bbb60,8a2d4bf7-b6b0-417b-8e07-99a41d0ad5e6,73ae7fcd-c5a3-4588-9256-31503cacbc7e,ae4d5bae-7304-49a7-a4fb-f3a176afda92
b33f8b0f-2a96-4d65-85d0-9108382ca9f7,Prompt,"And would you like those buffalo wings mild, hot, or ______?",0,0,b4a636b6-c760-45b1-8126-17cfb59de95c,7ae90887-2052-47a0-8b9d-f060961bbb60,8a2d4bf7-b6b0-417b-8e07-99a41d0ad5e6,73ae7fcd-c5a3-4588-9256-31503cacbc7e,ae4d5bae-7304-49a7-a4fb-f3a176afda92
ac4f531b-9744-4df6-8cae-e1a5b16f2288,Prompt,"Armani suit: $1,000. Dinner for two at that swanky restaurant: $300. The look on her face when you surprise her with ______: priceless.",0,0,b4a636b6-c760-45b1-8126-17cfb59de95c,7ae90887-2052-47a0-8b9d-f060961bbb60,8a2d4bf7-b6b0-417b-8e07-99a41d0ad5e6,73ae7fcd-c5a3-4588-9256-31503cacbc7e,ae4d5bae-7304-49a7-a4fb-f3a176afda92
