uuid,name,description
a72f068a-c089-46ec-90c6-787d653ce3f4,Cards Against Humanity: Third Expansion,"Released March 22, 2013. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""3"". "

uuid,edition,version,description,author,releaseDate,column
390ae835-1fab-4bd8-963a-05c1466e445d,,v1.0,,,0,0
495b6d26-e566-40ff-a409-fa83ddce74c5,,v1.1,,,0,1
97fe0fbf-e047-446b-8f0c-d545e823dc1b,,v1.2,,,0,2

uuid,suite,text,draw,pick,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
bc23049e-0fbb-47b6-8292-a6047fc3d4de,Prompt,______: Hours of fun. Easy to use. Perfect for ______!,0,2,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
af22b6dc-ea19-413f-a8bf-389d3541270c,Prompt,"______. Awesome in theory, kind of a mess in practice.",0,0,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
526abe86-688e-4ae6-9feb-97e4ca271784,Prompt,A successful job interview begins with a firm handshake and ends with ______.,0,0,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
f00cf51c-c1e5-4e77-89a0-fac19ab714f2,Prompt,"After months of practice with ______, I think I’m finally ready for ______.",0,2,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
903a6f94-b8ef-495d-9742-6ce1bd2787d4,Prompt,And what did you bring for show and tell?,0,0,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
15e9d305-c1cc-49b3-9e76-f7967bcf13e6,Prompt,"As part of his contract, Prince won’t perform without ______ in his dressing room.",0,0,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
1cad3284-9160-4e71-b7a8-230e41e527e0,Prompt,"As part of his daily regimen, Anderson Cooper sets aside 15 minutes for ______.",0,0,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
358afd25-60e1-4959-9fe9-cbdaedcd62f1,Prompt,"Call the law offices of Goldstein & Goldstein, because no one should have to tolerate ______ in the workplace.",0,0,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
f77464d6-32ba-4c30-a525-83f04054ffbe,Prompt,During high school I never really fit in until I found ______ club.,0,0,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
046a8aa7-6615-4e20-83e5-0c81d8366183,Prompt,Finally! A service that delivers ______ right to your door.,0,0,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
63ee3359-f636-44ca-b1c9-9bbcc9e48dd5,Prompt,Having problems with ______? Try ______!,0,2,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
9ce58c65-2bca-404b-8a49-cebe23a2fd63,Prompt,"Hey baby, come back to my place and I’ll show you ______.",0,0,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
9f430ece-ab72-4bab-8046-931f9621bcef,Prompt,I’m not like the rest of you. I’m too rich and busy for ______.,0,0,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
da109288-7648-4dfb-ba8a-b0c24e72f6e9,Prompt,"In the seventh circle of Hell, sinners must endure ______ for all eternity.",0,0,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
6ed8de02-e975-449c-983e-52b9bcfcc509,Prompt,"Listen, son. If you want to get involved with ______, I won’t stop you. Just steer clear of ______.",0,2,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
588a1cdf-954f-41d8-9383-68e59cae312c,Prompt,Lovin’ you is easy ’cause you’re ______.,0,0,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
817718f3-2e06-4e75-91ba-15748532747f,Prompt,"Money can’t buy me love, but it can buy me ______.",0,0,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
e402e7ec-2d54-43e4-b939-528920f68e85,Prompt,My gym teacher got fired for adding ______ to the obstacle course.,0,0,390ae835-1fab-4bd8-963a-05c1466e445d,495b6d26-e566-40ff-a409-fa83ddce74c5,97fe0fbf-e047-446b-8f0c-d545e823dc1b
