uuid,name,description
ad6aabce-0f76-4aaf-8848-81edb1b08e44,Cards Against Humanity: Third Expansion,"Released March 22, 2013. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""3"". "

uuid,edition,version,description,author,releaseDate,column
b4f722d2-11b9-4ace-8178-62d9bc05c8b0,,v1.0,,,0,0
2be2fdc8-3820-4b99-a85b-95eba270d36c,,v1.1,,,0,1
f64f3676-dc99-4006-8ca0-1c92342967ce,,v1.2,,,0,2

uuid,suite,text,draw,pick,b4f722d2-11b9-4ace-8178-62d9bc05c8b0,2be2fdc8-3820-4b99-a85b-95eba270d36c,f64f3676-dc99-4006-8ca0-1c92342967ce
2f1618b6-b8a4-46a1-b5d8-68668560d448,Prompt,______: Hours of fun. Easy to use. Perfect for ______!,0,2,b4f722d2-11b9-4ace-8178-62d9bc05c8b0,2be2fdc8-3820-4b99-a85b-95eba270d36c,f64f3676-dc99-4006-8ca0-1c92342967ce
4cbc2f16-4348-4d34-93e9-35457d8b0575,Prompt,"______. Awesome in theory, kind of a mess in practice.",0,0,b4f722d2-11b9-4ace-8178-62d9bc05c8b0,2be2fdc8-3820-4b99-a85b-95eba270d36c,f64f3676-dc99-4006-8ca0-1c92342967ce
fa9a77f5-02ae-46ce-9321-eb50bfb05d99,Prompt,A successful job interview begins with a firm handshake and ends with ______.,0,0,b4f722d2-11b9-4ace-8178-62d9bc05c8b0,2be2fdc8-3820-4b99-a85b-95eba270d36c,f64f3676-dc99-4006-8ca0-1c92342967ce
a6b5113b-d764-4537-88da-2d3518334c90,Prompt,"After months of practice with ______, I think I’m finally ready for ______.",0,2,b4f722d2-11b9-4ace-8178-62d9bc05c8b0,2be2fdc8-3820-4b99-a85b-95eba270d36c,f64f3676-dc99-4006-8ca0-1c92342967ce
271db91f-7c2e-47ef-aff5-f6af38269530,Prompt,And what did you bring for show and tell?,0,0,b4f722d2-11b9-4ace-8178-62d9bc05c8b0,2be2fdc8-3820-4b99-a85b-95eba270d36c,f64f3676-dc99-4006-8ca0-1c92342967ce
72a5c134-ab98-4f22-873d-778d9380904f,Prompt,"As part of his contract, Prince won’t perform without ______ in his dressing room.",0,0,b4f722d2-11b9-4ace-8178-62d9bc05c8b0,2be2fdc8-3820-4b99-a85b-95eba270d36c,f64f3676-dc99-4006-8ca0-1c92342967ce
87d77e38-6fbd-4232-9f1e-36d8c60151ac,Prompt,"As part of his daily regimen, Anderson Cooper sets aside 15 minutes for ______.",0,0,b4f722d2-11b9-4ace-8178-62d9bc05c8b0,2be2fdc8-3820-4b99-a85b-95eba270d36c,f64f3676-dc99-4006-8ca0-1c92342967ce
5f299bbc-339c-47c6-93f9-8e539ce04e81,Prompt,"Call the law offices of Goldstein & Goldstein, because no one should have to tolerate ______ in the workplace.",0,0,b4f722d2-11b9-4ace-8178-62d9bc05c8b0,2be2fdc8-3820-4b99-a85b-95eba270d36c,f64f3676-dc99-4006-8ca0-1c92342967ce
d0954609-cf94-46de-a0b7-2df3b472b2c6,Prompt,During high school I never really fit in until I found ______ club.,0,0,b4f722d2-11b9-4ace-8178-62d9bc05c8b0,2be2fdc8-3820-4b99-a85b-95eba270d36c,f64f3676-dc99-4006-8ca0-1c92342967ce
e807330e-407f-48a0-b755-b2ef2056983d,Prompt,Finally! A service that delivers ______ right to your door.,0,0,b4f722d2-11b9-4ace-8178-62d9bc05c8b0,2be2fdc8-3820-4b99-a85b-95eba270d36c,f64f3676-dc99-4006-8ca0-1c92342967ce
