uuid,name,description
b9c04462-24a5-49a7-83ba-25e96bb4626c,Cards Against Humanity: Second Expansion,"Released August 31, 2012. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""2"". "

uuid,edition,version,description,author,releaseDate,column
fd5da6c5-95cb-419a-b1f5-df5746e63e0c,,v1.0,,,0,0
71fe78fe-9464-4a3e-b27b-c0c4144911a5,,v1.1,,,0,1
cf24cc0a-4854-4646-a75f-97b6d11a0982,,v1.2,,,0,2
74d5862e-1dd0-4dca-a902-126b9492bb18,,v1.3,,,0,3
517bbdc4-63e3-4525-9cad-7a53a66713da,,v1.4,,,0,4

uuid,suite,text,draw,pick,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
3cca5b38-a05d-48ad-9186-d5ecb189a452,Prompt,______ would be woefully incomplete without ______.,0,2,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
57a244f5-3f57-472f-9b68-d52d2cc96259,Prompt,A remarkable new study has shown that chimps have evolved their own primitive version of ______.,0,0,,,,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
01c29302-8e73-4a7f-91fc-bf818cd5e098,Prompt,"After months of debate, the Occupy Wall Street General Assembly could only agree on ""More ______!""",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,,
1d297042-e1b9-4ffa-9eec-e20f1cc99e2a,Prompt,"Before ______, all we had was ______.",0,2,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
ea8125e6-52d4-4d2a-b7b1-e27dd968d3b1,Prompt,"Before I run for president, I must destroy all evidence of my involvement with ______.",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
c8754066-cfd6-4175-a497-579f1cd3ae09,Prompt,Charades was ruined for me forever when my mom had to act out ______.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
bc054b60-3303-4a8a-9e02-03c4a26308c1,Prompt,"During his midlife crisis, my dad got really into ______.",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
2874e6be-f784-4717-8fa5-bebc97c86a78,Prompt,Everyone down on the ground! We don't want to hurt anyone. We're just here for ______.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,
973b136c-2487-470a-8669-d12ab1d06618,Prompt,"I spent my whole life working toward ______, only to have it ruined by ______.",0,2,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
e80c8980-4a04-447d-b5ff-76a03af57d22,Prompt,"I went from ______ to ______, all thanks to ______.",2,3,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
f0e4a061-ce77-4e00-b4cb-f4c5941a2b30,Prompt,"If God didn't want us to enjoy ______, he wouldn't have given us ______.",0,2,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
ea13c1c1-1583-4b5a-8f6a-10ecebf3f866,Prompt,"In his newest and most difficult stunt, David Blaine must escape from ______.",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
e0d676b7-6555-4250-99c1-54d69a999d6d,Prompt,"Little Miss Muffet Sat on a tuffet, Eating her curds and ______.",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
4a9abe08-c5d9-45cf-8d24-5696063ce185,Prompt,Members of New York's social elite are paying thousands of dollars just to experience ______.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
1cfa1190-9c60-4bff-86c7-caf9f7162004,Prompt,"My country, 'tis of thee, sweet land of ______.",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
d3e9f50c-2978-4233-a30d-8c61288f2dbe,Prompt,My mom freaked out when she looked at my browser history and found ______.com/______.,0,2,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
ed2470bb-b8f0-427c-a76d-57006010197b,Prompt,"My new favorite porn star is Joey ""______"" McGee.",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
ba9915e0-3568-4616-80c7-f033090f6152,Prompt,Next time on Dr. Phil: How to talk to your child about ______.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
6c155f0a-3bb9-46e1-9cda-008dac5e13ca,Prompt,Only two things in life are certain: death and ______.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
1c08e6b9-a864-4da5-b84e-97b5930a2cca,Prompt,"The Five Stages of Grief: denial, anger, bargaining, ______, acceptance.",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
f26cfdc0-b7a4-428c-8a5b-862c5bdeccf6,Prompt,The healing process began when I joined a support group for victims of ______.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
56de787c-29ff-4792-a4c4-3a550bfa6181,Prompt,"The votes are in, and the new high school mascot is ______.",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,,
54250b96-6294-45a9-b8a9-6ab657bcffc3,Prompt,This is your captain speaking. Fasten your seatbelts and prepare for ______.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
3e679b69-8d7e-44be-94fb-4dd54a897ce0,Prompt,"This month's Cosmo: ""Spice up your sex life by bringing ______ into the bedroom.""",0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
3e6777b2-520b-40db-b701-82d2ce5a7398,Prompt,Tonight on 20/20: What you don't know about ______ could kill you.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
b5e45e3b-a2ef-4f00-a7d9-1a4f1800e36d,Prompt,"What's harshing my mellow, man?",0,0,,,,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
51db7470-0d4b-49ea-bd4e-2c40f2d99b68,Prompt,You haven't truly lived until you've experienced ______ and ______ at the same time.,0,2,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
694474bc-de0b-4084-9f3e-0f9114f15751,Prompt,"Your persistence is admirable, my dear Prince. But you cannot win my heart with ______ alone.",0,0,,,,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
918edf00-5f76-4f96-9ba5-34a9f60be5d9,Response,A 55-gallon drum of lube.,0,0,fd5da6c5-95cb-419a-b1f5-df5746e63e0c,71fe78fe-9464-4a3e-b27b-c0c4144911a5,cf24cc0a-4854-4646-a75f-97b6d11a0982,74d5862e-1dd0-4dca-a902-126b9492bb18,517bbdc4-63e3-4525-9cad-7a53a66713da
