uuid,name,description
c6530f95-6c78-450d-9ad2-3ba344293526,Cards Against Humanity: First Expansion,"Released November 7, 2011. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""1"". "

uuid,edition,version,description,author,releaseDate,column
3e531359-4c33-4d9a-94e5-5b83678a7dc1,,v1.0,,,0,0
6cea8fa2-ec00-420b-9bec-1facd0c5cfda,,v1.1,,,0,1
10c37bdd-20bb-445e-9b60-da9c0070d174,,v1.2,,,0,2
33602970-bb2e-4604-86e9-0afb0fe0a4ef,,v1.3,,,0,3
713013e1-39c8-4d3b-bd80-4e77803d393a,,v1.4,,,0,4
74484a7f-a726-440d-a9ee-810fc5d8cfa5,,v1.5,,,0,5
4b247a89-8bff-4fc9-90e6-2216334be2c1,,v1.6,,,0,6

uuid,suite,text,draw,pick,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
98b46ddf-1919-4c71-ade9-648f98aa926b,Prompt,An international tribunal has found ______ guilty of ______.,0,2,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,,
443e5267-c949-44b9-b056-5dc979ac5d3c,Prompt,"And I would have gotten away with it, too, if it hadn't been for ______!",0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
eadc9156-178f-4e14-bd9e-f9a7ccc6abb4,Prompt,"Awww, sick! I just saw this skater do a 720 kickflip into ______!",0,0,,,,,,,4b247a89-8bff-4fc9-90e6-2216334be2c1
079a3626-8d0d-4801-8222-786ac5e1a8ba,Prompt,"Dear Sir or Madam, We regret to inform you that the Office of ______ has denied your request for ______.",0,2,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
8bf17fdc-a7fe-4258-9b00-66fa103602bb,Prompt,"Doctor, you've gone too far! The human body wasn't meant to withstand that amount of ______!",0,0,,,,,,,4b247a89-8bff-4fc9-90e6-2216334be2c1
46047d37-678c-44fb-b147-40d19b2c3ed6,Prompt,Future historians will agree that ______ marked the beginning of America's decline.,0,0,,,,,,,4b247a89-8bff-4fc9-90e6-2216334be2c1
8c572880-33a2-403c-bdff-8449024fc78e,Prompt,He who controls ______ controls the world.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,,10c37bdd-20bb-445e-9b60-da9c0070d174,,713013e1-39c8-4d3b-bd80-4e77803d393a,,
0880bcb3-1796-4ba2-9b60-7df0c86e4d8e,Prompt,I learned the hard way that you can't cheer up a grieving friend with ______.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
332c01a7-33ed-49e5-af1a-79493a0c2668,Prompt,"In a pinch, ______ can be a suitable substitute for ______.",0,2,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
9e9c9b1b-eb86-4895-b1e1-f4bcf2de658d,Prompt,"In his new self-produced album, Kanye West raps over the sounds of ______.",0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
1c6e77df-0431-461f-bfc2-115e705fbdf6,Prompt,"In its new tourism campaign, Detroit proudly proclaims that it has finally eliminated ______.",0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
30a38374-e249-4b73-8b57-8d1b056055d1,Prompt,"In Rome, there are whisperings that the Vatican has a secret room devoted to ______.",0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
ccadf78a-7424-4723-ae46-7cdec16830fb,Prompt,"In the distant future, historians will agree that ______ marked the beginning of America's decline.",0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,
46a40e74-28b3-4d8b-bd3a-a2e94a9723a5,Prompt,Michael Bay's new three-hour action epic pits ______ against ______.,0,2,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
4c91e25c-dfa7-4e5e-b34b-d82088d4324c,Prompt,My plan for world domination begins with ______.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,,33602970-bb2e-4604-86e9-0afb0fe0a4ef,,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
c615f4b7-71af-44da-bce8-a4996a1c661a,Prompt,"Next season on Man vs, Wild, Bear Grylls must survive the depths of the Amazon with only ______ and his wits.",0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,,33602970-bb2e-4604-86e9-0afb0fe0a4ef,,74484a7f-a726-440d-a9ee-810fc5d8cfa5,
7f36369f-83fe-4218-a642-973b2597b675,Prompt,"Next week on Discovery Channel, one man must survive in the depths of the Amazon with only _____ and his wits.",0,0,,,,,,,4b247a89-8bff-4fc9-90e6-2216334be2c1
afdcc6d2-5d64-4e9b-8bea-30f1d2e14a31,Prompt,Science will never explain ______.,0,0,,,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
3cd31192-793c-42b5-ace7-c6283048ce11,Prompt,Science will never explain the origin of ______.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,,,,,
2013e4ed-15a4-4546-9820-15375037cd66,Prompt,The CIA now interrogates enemy agents by repeatedly subjecting them to ______.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
589b319a-78db-48a9-aa54-d6886fad90de,Prompt,"The secret to a lasting marriage is communication, communication, and ______.",0,0,,,,,,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
c9b34c19-903d-442a-8270-a5695f8c2f39,Prompt,The socialist governments of Scandinavia have declared that access to ______ is a basic human right.,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,
c2ed1178-0cf8-4722-b3eb-043aca294b89,Prompt,"This season on Man vs. Wild, Bear Grylls must survive in the depths of the Amazon with only ______ and his wits.",0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,,10c37bdd-20bb-445e-9b60-da9c0070d174,,713013e1-39c8-4d3b-bd80-4e77803d393a,,
246b2b84-9758-44b6-a796-3a0abeb65827,Prompt,What brought the orgy to a grinding halt?,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
a2e81642-8a09-4d8c-ac05-23b2d4f9fb54,Prompt,What has been making life difficult at the nudist colony?,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,4b247a89-8bff-4fc9-90e6-2216334be2c1
a2713829-10b0-4441-869b-0997293747c6,Prompt,What's the gift that keeps on giving?,0,0,3e531359-4c33-4d9a-94e5-5b83678a7dc1,6cea8fa2-ec00-420b-9bec-1facd0c5cfda,10c37bdd-20bb-445e-9b60-da9c0070d174,33602970-bb2e-4604-86e9-0afb0fe0a4ef,713013e1-39c8-4d3b-bd80-4e77803d393a,74484a7f-a726-440d-a9ee-810fc5d8cfa5,
