uuid,name,description
cf360085-d4ad-44ea-84be-727f6e330167,Blue Box Expansion,"A combination of the Fourth, Fifth, and Sixth Expansions.
Released November 21, 2016.  Icon: A blue triangle.
"

uuid,edition,version,description,author,releaseDate,column
845678ac-705f-4159-bf9e-2b2b749b4ee6,,v1.0,,,0,0
0947bf5e-f927-4045-844b-b4d3cf5229dc,,v1.1,,,0,1
4a6555a5-d621-4c65-81cf-109bea3b8663,,v1.2,,,0,2
438a8162-0b02-4e2d-8028-6eb4676a9944,,v1.3,,,0,3
dd0b09a6-6bc9-4afd-b693-d0b78dd5da45,,v1.4,,,0,4

uuid,suite,text,draw,pick,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
5b45a20d-3fe1-430d-a89d-16cadd236f83,Prompt,"______ may pass, but ______ will last forever.",0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
105bf63c-2e70-4e67-9f22-01ee5090f019,Prompt,______ will never be the same after ______.,0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
89b49eed-c17d-41ec-a830-43e045d7fee3,Prompt,"""This is madness."" ""No, THIS IS ______!""",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,
78ff7ab2-168d-4fcc-a396-9c93171f118e,Prompt,"2 AM in the city that never sleeps. The door swings open and she walks in, legs up to here. Something in her eyes tells me she's looking for ______.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
cce5fb7b-ad83-48b4-a755-13ef9bb2c43a,Prompt,"Adventure. Romance. ______. From Paramount Pictures, ""______.""",0,2,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
02dfad74-33d8-425d-a4f3-073ed3b6d64e,Prompt,And today's soup is Cream of ______.,0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
53365ec7-2741-48bb-9119-9a259f53ed90,Prompt,"And would you like those buffalo wings mild, hot, or ______?",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
30258d48-8648-49f9-b7b2-1b5e279b2b71,Prompt,"Armani suit: $1,000. Dinner for two at that swanky restaurant: $300. The look on her face when you surprise her with ______: priceless.",0,0,845678ac-705f-4159-bf9e-2b2b749b4ee6,0947bf5e-f927-4045-844b-b4d3cf5229dc,4a6555a5-d621-4c65-81cf-109bea3b8663,438a8162-0b02-4e2d-8028-6eb4676a9944,dd0b09a6-6bc9-4afd-b693-d0b78dd5da45
