uuid,name,description
d60747fd-56b8-48cb-aebd-83f82d29e0b7,Red Box Expansion,"A combination of the First, Second, and Third Expansions.
Released November 21, 2016. Icon: A red diamond."

uuid,edition,version,description,author,releaseDate,column
7cad454e-a15c-466a-be63-e299f35d6a7c,,v1.0,,,0,0
5f9df58d-74a2-490f-acdb-c28fe299a285,,v1.1,,,0,1
44619376-a9ed-4e27-a51b-ed9e09e0566a,,v1.2,,,0,2
7608047a-c80f-4103-9b12-da479665be1c,,v1.3,,,0,3
741b4342-de40-46bd-ac2e-13539c208372,,v1.4,,,0,4

uuid,suite,text,draw,pick,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
04fa90ee-df35-4646-a133-f3876acc8de5,Prompt,______ is back! Only at McDonald's.,0,0,,,,,741b4342-de40-46bd-ac2e-13539c208372
746aa92a-1b63-419b-b993-4d8f48654ced,Prompt,______ would be woefully incomplete without ______.,0,2,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
e0ec0d1f-dd6f-4a0b-bde9-6b33e66a424f,Prompt,______: Hours of fun. Easy to use. Perfect for ______!,0,2,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,
8dfd2c3d-00ad-461a-a12f-5e0af23be1a4,Prompt,"______. Awesome in theory, kind of a mess in practice.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
97053a91-60e3-406a-88a3-ce02883d2f8d,Prompt,A remarkable new study has shown that chimps have evolved their own primitive version of ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
842a5dc7-5438-406f-b6ce-d34591ca2bb2,Prompt,A successful job interview begins with a firm handshake and ends with ______.,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
35a1463c-31bc-4371-a483-15166d9cd64a,Prompt,"After months of practice with ______, I think I’m finally ready for ______.",0,2,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
dc00ebfd-cf07-4fe3-ab9e-e92ae5b7b6e3,Prompt,"And I would have gotten away with it, too, if it hadn't been for ______!",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
54fc9ae6-c0ec-404e-b1cd-fdb95519fc95,Prompt,And what did you bring for show and tell?,0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
9428248b-69f5-4e96-9620-4668d944bd7c,Prompt,"As part of his contract, Prince won’t perform without ______ in his dressing room.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,,,,
735ce0d6-3c17-44dc-bff1-95d89f2106de,Prompt,"As part of his daily regimen, Anderson Cooper sets aside 15 minutes for ______.",0,0,7cad454e-a15c-466a-be63-e299f35d6a7c,5f9df58d-74a2-490f-acdb-c28fe299a285,44619376-a9ed-4e27-a51b-ed9e09e0566a,7608047a-c80f-4103-9b12-da479665be1c,741b4342-de40-46bd-ac2e-13539c208372
