uuid,name,description
e1dc7390-ee76-4684-a687-9309480c91f0,Cards Against Humanity: First Expansion,"Released November 7, 2011. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""1"". "

uuid,edition,version,description,author,releaseDate,column
21c11868-ae8c-4341-9e86-65aefdfbe488,,v1.0,,,0,0
295395b1-c380-4730-85a0-b97c9a38030f,,v1.1,,,0,1
393a6bcd-8e1a-47bb-a1b0-e2363b89efad,,v1.2,,,0,2
1725a8b6-60b9-427f-95ff-d626a13b6861,,v1.3,,,0,3
df95ea0e-4aed-41a2-8914-9e925d21fd54,,v1.4,,,0,4
9b2571f3-ca4f-43a9-9431-b06010d5de68,,v1.5,,,0,5
141ac433-257d-48aa-ad3f-f4c717a1be46,,v1.6,,,0,6

uuid,suite,text,draw,pick,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
19115f03-fe90-408e-bddf-7a491bddddd3,Prompt,An international tribunal has found ______ guilty of ______.,0,2,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,,
e52bb2fb-7d26-46c9-842c-f1f4bbd57032,Prompt,"And I would have gotten away with it, too, if it hadn't been for ______!",0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
7986b297-ffd8-475c-86be-2645685ca57a,Prompt,"Awww, sick! I just saw this skater do a 720 kickflip into ______!",0,0,,,,,,,141ac433-257d-48aa-ad3f-f4c717a1be46
846aaf02-cb83-49b4-9a80-7fd0ac3aa6f7,Prompt,"Dear Sir or Madam, We regret to inform you that the Office of ______ has denied your request for ______.",0,2,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
a2cd20fd-7e6e-45f8-8aca-66b4363645c5,Prompt,"Doctor, you've gone too far! The human body wasn't meant to withstand that amount of ______!",0,0,,,,,,,141ac433-257d-48aa-ad3f-f4c717a1be46
bf015623-7e48-40c6-96bc-86bb411f4dc7,Prompt,Future historians will agree that ______ marked the beginning of America's decline.,0,0,,,,,,,141ac433-257d-48aa-ad3f-f4c717a1be46
681b1189-ee8a-477e-9146-8fb41c8ca611,Prompt,He who controls ______ controls the world.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,,df95ea0e-4aed-41a2-8914-9e925d21fd54,,
550a59b9-473b-4b69-b7e2-9c44a12fd04c,Prompt,I learned the hard way that you can't cheer up a grieving friend with ______.,0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
c5271931-9b24-42f5-a84c-6407503016f9,Prompt,"In a pinch, ______ can be a suitable substitute for ______.",0,2,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
b681a827-5cf9-4dd4-8aa4-5610a18c213b,Prompt,"In his new self-produced album, Kanye West raps over the sounds of ______.",0,0,21c11868-ae8c-4341-9e86-65aefdfbe488,295395b1-c380-4730-85a0-b97c9a38030f,393a6bcd-8e1a-47bb-a1b0-e2363b89efad,1725a8b6-60b9-427f-95ff-d626a13b6861,df95ea0e-4aed-41a2-8914-9e925d21fd54,9b2571f3-ca4f-43a9-9431-b06010d5de68,141ac433-257d-48aa-ad3f-f4c717a1be46
