uuid,name,description
ed2385b3-5d54-43b9-bc67-044c07890c67,Cards Against Humanity: Fifth Expansion,"Released September 3, 2014. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Blue Box Expansion. Icon: The number ""5"". "

uuid,edition,version,description,author,releaseDate,column
c8916497-beb5-4cc3-81a5-3a988702d84a,,v1.0,,,0,0
21f07cde-d758-4b6b-8d78-2807529a0a6d,,v1.1,,,0,1

uuid,suite,text,draw,pick,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
04c2f85e-ee35-4405-8745-92c47030e523,Prompt,And today's soup is Cream of ______.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
b5c08daf-e3da-4f32-8ab1-58d32a853645,Prompt,"Armani suit: $1,000. Dinner for two at that swanky restaurant: $300. The look on her face when you surprise her with ______: priceless.",0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
82136e94-490b-4906-a772-eb217e11e861,Prompt,Do the Dew with our most extreme flavor yet! Get ready for Mountain Dew ______!,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
fff6e3b0-4aa5-40ec-9ea9-9f56110778d0,Prompt,Do you lack energy? Does it sometimes feel like the whole world is ______? Zoloft.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
c7b5e7a8-e473-470b-87cc-fa546fff77ef,Prompt,"Don't forget! Beginning this week, Casual Friday will officially become ""______ Friday.""",0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
4f74bcfe-919e-41cc-84da-0f56abe59a57,Prompt,Get ready for the movie of the summer! One cop plays by the book. The other's only interested in one thing: ______.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
bce59936-2bd0-4b59-ae70-61020ebbb7e9,Prompt,Having the worst day EVER. #______,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
51982b58-36ec-46fd-ae5e-064b751661d0,Prompt,"Heed my voice, mortals! I am the god of ______ , and I will not tolerate ______!",0,2,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
b2fb6358-1c41-4a8f-96ce-2ee039ed596a,Prompt,"Help me doctor, I've got ______ in my butt!",0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
d772a2da-56d5-4175-b5d1-126cff4d692f,Prompt,"Here at the Academy for Gifted Children, we allow students to explore ______ at their own pace.",0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
420737f4-c58c-4932-8471-bba36abb4c36,Prompt,"Hi MTV! My name is Kendra, I live in Malibu, I'm into ______, and I love to have a good time.",0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
f16dbe64-7be0-4df9-b4d6-f9a2be802f7d,Prompt,"Hi, this is Jim from accounting. We noticed a $1,200 charge labeled ""______."" Can you explain?",0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
e4a411af-18c6-4b9e-952c-20c24e08c710,Prompt,"I don't mean to brag, but they call me the Micheal Jordan of ______.",0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
9c71d030-c925-44c2-a086-36d1b1b89b1e,Prompt,"In his farewell address, George Washington famously warned Americans about the dangers of ______.",0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
08d00c50-1282-49f1-9abd-782491ff906f,Prompt,"In his new action comedy, Jackie Chan must fend off ninjas while also dealing with ______.",0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
8a816ba3-2a78-4ef0-ad62-1666b01aa275,Prompt,Life's pretty tough in the fast lane. That's why I never leave the house without ______.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
52423beb-58ba-4371-bd0d-29b72f78edc9,Prompt,"Now in bookstores: ""The Audacity of ______"" by Barack Obama.",0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
a18b659b-d300-450d-8770-d2b3acdab82b,Prompt,Patient presents with ______ . Likely a result of ______.,0,2,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
4c445d95-a89f-492b-9668-162cacbfcbf8,Prompt,"Well if ______ is good enough for ______, it's good enough for me.",0,2,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
bf2ad8b3-3370-4e91-a416-92ca5c3e6e2e,Prompt,"Well what do you have to say for yourself, Casey? This is the third time you've been sent to the principal's office for ______.",0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
6cf68ee3-296b-4cca-bd03-d91a53f0c4c0,Prompt,What killed my boner?,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
0dec5b8f-d210-41a3-9b74-a98dda36ad06,Prompt,What's making things awkward in the sauna?,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
51783a2a-f590-4e6a-8fa9-5526950755be,Prompt,WHOOO! God damn I love ______!,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
4db8d474-dd24-4ed6-841a-edcb754df545,Prompt,Why am I broke?,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
777a706a-f60a-4c9f-a77f-550a463a1280,Prompt,Yo' mama's so fat she ______!,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
ee3150d1-387f-4455-999a-d2878273a5d9,Response,40 acres and a mule.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
b37eff5c-3f83-40ca-a506-29fa8b10eca6,Response,A chimpanzee in sunglasses fucking your wife.,0,0,,21f07cde-d758-4b6b-8d78-2807529a0a6d
04744ad8-fd25-44f9-9a9b-04bccf19a231,Response,A crazy little thing called love.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
2784ad06-3b23-4e36-b075-e62febe4af69,Response,A disappointing salad.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
e604b2f8-396c-4d24-9f2f-4e9c317ff905,Response,A face full of horse cum.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
d8f318fb-c5d5-49d2-bba3-970a1276d118,Response,A giant powdery manbaby.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
0590423c-d275-4267-876b-61a316071b42,Response,A mouthful of potato salad.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
0a3cb04a-f709-4f7a-802b-645a1834d1ea,Response,"A one-way ticket to Gary, Indiana.",0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
7d00c521-b365-4544-9761-d63d15bc9992,Response,A powered exoskeleton.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,
e4f310ab-53e6-4cb1-b136-f0939238a87b,Response,A reason not to commit suicide.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
5e97e223-7ba9-4ac8-973f-bd6cf84492e1,Response,A team of lawyers.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
c65b94a7-84c0-4028-88b2-a59c74f2c2ac,Response,A whole new kind of porn.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
5a3e6e7b-2ede-4494-830e-03779536e7fd,Response,"A zero-risk way to make $2,000 from home.",0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
f2fba866-7e71-4fd1-9d6c-7d670afdd18f,Response,AIDS monkeys.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
9f09b8fa-7f48-4a64-8a22-87042c6250a6,Response,All these decorative pillows.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
910573a9-f347-40e3-8fd8-df519e1e7390,Response,An inability to form meaningful relationships.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,
3a41e8cd-be14-46e4-a7d4-485bc042c172,Response,An unforgettable quinceañera.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
c0030cf8-0645-4cf8-bbf6-888fe1a28d1e,Response,An uninterrupted history of imperialism and exploitation.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
5bb5f7b0-5f1a-4353-9b8f-8835ec603c89,Response,Anal fissures like you wouldn't believe.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
4e3ed668-58a7-40eb-b708-bb8d553bb045,Response,Ancient Athenian boy-fucking.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
f2828d3d-025f-452d-abc7-1790d390a362,Response,Backwards knees.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
c9f558da-2529-4ff7-bfd5-b7a849d17b7f,Response,Being nine years old.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
0b1c6250-f6b5-4708-a02f-b57225a028b1,Response,Being paralyzed from the neck down.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
c93b7b61-7069-43f8-912b-4ae45bbd7377,Response,Being worshipped as the one true God.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
93ff6bc1-d9bf-4ef7-855e-f1dd186e0e8d,Response,Blackface.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
6a16d213-1775-460c-ba98-db19cdddf98a,Response,Blowjobs for everyone.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
fc40989c-fd7d-4776-8249-500bfc453367,Response,Boring Vaginal sex.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
a7d90cb8-ff16-42ce-8854-b8e015a54a3f,Response,Butt stuff.,0,0,c8916497-beb5-4cc3-81a5-3a988702d84a,21f07cde-d758-4b6b-8d78-2807529a0a6d
