uuid,name,description
ef141e64-31c3-4cbe-8f10-bbc361f7787d,Cards Against Humanity: First Expansion,"Released November 7, 2011. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""1"". "

uuid,edition,version,description,author,releaseDate,column
6a824873-e9ee-4e59-be26-b761a42d68ff,,v1.0,,,0,0
4f670172-5583-4ccd-816d-a0fe4572e461,,v1.1,,,0,1
5d82ea76-d99e-4247-aff5-2740e37cb451,,v1.2,,,0,2
7fdb30c8-f96e-45be-afb6-d4f0634cdf38,,v1.3,,,0,3
641ff8a5-0117-4e86-b9ef-b46224022220,,v1.4,,,0,4
cf089f07-652b-4606-aa06-437dbf53d9f4,,v1.5,,,0,5
e0147b59-87a0-4dca-9fa5-4c37af15e33d,,v1.6,,,0,6

uuid,suite,text,draw,pick,6a824873-e9ee-4e59-be26-b761a42d68ff,4f670172-5583-4ccd-816d-a0fe4572e461,5d82ea76-d99e-4247-aff5-2740e37cb451,7fdb30c8-f96e-45be-afb6-d4f0634cdf38,641ff8a5-0117-4e86-b9ef-b46224022220,cf089f07-652b-4606-aa06-437dbf53d9f4,e0147b59-87a0-4dca-9fa5-4c37af15e33d
f8465d47-e8c4-458e-996f-15f144c86ea0,Prompt,An international tribunal has found ______ guilty of ______.,0,2,6a824873-e9ee-4e59-be26-b761a42d68ff,4f670172-5583-4ccd-816d-a0fe4572e461,5d82ea76-d99e-4247-aff5-2740e37cb451,7fdb30c8-f96e-45be-afb6-d4f0634cdf38,641ff8a5-0117-4e86-b9ef-b46224022220,,
086f3432-5cc7-4b52-88e6-02cce9736705,Prompt,"And I would have gotten away with it, too, if it hadn't been for ______!",0,0,6a824873-e9ee-4e59-be26-b761a42d68ff,4f670172-5583-4ccd-816d-a0fe4572e461,5d82ea76-d99e-4247-aff5-2740e37cb451,7fdb30c8-f96e-45be-afb6-d4f0634cdf38,641ff8a5-0117-4e86-b9ef-b46224022220,cf089f07-652b-4606-aa06-437dbf53d9f4,e0147b59-87a0-4dca-9fa5-4c37af15e33d
bfcb1592-4755-427a-bfc5-ad5110515da3,Prompt,"Awww, sick! I just saw this skater do a 720 kickflip into ______!",0,0,,,,,,,e0147b59-87a0-4dca-9fa5-4c37af15e33d
d83a54bc-6aed-4f7d-bc5c-02e62378aa45,Prompt,"Dear Sir or Madam, We regret to inform you that the Office of ______ has denied your request for ______.",0,2,6a824873-e9ee-4e59-be26-b761a42d68ff,4f670172-5583-4ccd-816d-a0fe4572e461,5d82ea76-d99e-4247-aff5-2740e37cb451,7fdb30c8-f96e-45be-afb6-d4f0634cdf38,641ff8a5-0117-4e86-b9ef-b46224022220,cf089f07-652b-4606-aa06-437dbf53d9f4,e0147b59-87a0-4dca-9fa5-4c37af15e33d
e56063e4-a632-429c-94ea-800eed13a908,Prompt,"Doctor, you've gone too far! The human body wasn't meant to withstand that amount of ______!",0,0,,,,,,,e0147b59-87a0-4dca-9fa5-4c37af15e33d
b1cfeb7b-6985-46af-8b73-29d87303833e,Prompt,Future historians will agree that ______ marked the beginning of America's decline.,0,0,,,,,,,e0147b59-87a0-4dca-9fa5-4c37af15e33d
c1f4c6c5-d900-4810-a510-bab341ceb507,Prompt,He who controls ______ controls the world.,0,0,6a824873-e9ee-4e59-be26-b761a42d68ff,,5d82ea76-d99e-4247-aff5-2740e37cb451,,641ff8a5-0117-4e86-b9ef-b46224022220,,
e3c5f7e0-5274-41a8-9de1-0d72bf523478,Prompt,I learned the hard way that you can't cheer up a grieving friend with ______.,0,0,6a824873-e9ee-4e59-be26-b761a42d68ff,4f670172-5583-4ccd-816d-a0fe4572e461,5d82ea76-d99e-4247-aff5-2740e37cb451,7fdb30c8-f96e-45be-afb6-d4f0634cdf38,641ff8a5-0117-4e86-b9ef-b46224022220,cf089f07-652b-4606-aa06-437dbf53d9f4,e0147b59-87a0-4dca-9fa5-4c37af15e33d
ee8d5ad8-ce48-44e7-a25b-62de8893a2d9,Prompt,"In a pinch, ______ can be a suitable substitute for ______.",0,2,6a824873-e9ee-4e59-be26-b761a42d68ff,4f670172-5583-4ccd-816d-a0fe4572e461,5d82ea76-d99e-4247-aff5-2740e37cb451,7fdb30c8-f96e-45be-afb6-d4f0634cdf38,641ff8a5-0117-4e86-b9ef-b46224022220,cf089f07-652b-4606-aa06-437dbf53d9f4,e0147b59-87a0-4dca-9fa5-4c37af15e33d
d920effa-bca2-491d-b26c-fa1ae5147312,Prompt,"In his new self-produced album, Kanye West raps over the sounds of ______.",0,0,6a824873-e9ee-4e59-be26-b761a42d68ff,4f670172-5583-4ccd-816d-a0fe4572e461,5d82ea76-d99e-4247-aff5-2740e37cb451,7fdb30c8-f96e-45be-afb6-d4f0634cdf38,641ff8a5-0117-4e86-b9ef-b46224022220,cf089f07-652b-4606-aa06-437dbf53d9f4,e0147b59-87a0-4dca-9fa5-4c37af15e33d
f61f9c06-1440-43da-a2d4-f53c91455165,Prompt,"In its new tourism campaign, Detroit proudly proclaims that it has finally eliminated ______.",0,0,6a824873-e9ee-4e59-be26-b761a42d68ff,4f670172-5583-4ccd-816d-a0fe4572e461,5d82ea76-d99e-4247-aff5-2740e37cb451,7fdb30c8-f96e-45be-afb6-d4f0634cdf38,641ff8a5-0117-4e86-b9ef-b46224022220,cf089f07-652b-4606-aa06-437dbf53d9f4,e0147b59-87a0-4dca-9fa5-4c37af15e33d
dbbf36ab-a833-4ea3-bf2c-fd5a8caf01c9,Prompt,"In Rome, there are whisperings that the Vatican has a secret room devoted to ______.",0,0,6a824873-e9ee-4e59-be26-b761a42d68ff,4f670172-5583-4ccd-816d-a0fe4572e461,5d82ea76-d99e-4247-aff5-2740e37cb451,7fdb30c8-f96e-45be-afb6-d4f0634cdf38,641ff8a5-0117-4e86-b9ef-b46224022220,cf089f07-652b-4606-aa06-437dbf53d9f4,e0147b59-87a0-4dca-9fa5-4c37af15e33d
9fea985c-f647-4079-a4a4-121d5e4c6e46,Prompt,"In the distant future, historians will agree that ______ marked the beginning of America's decline.",0,0,6a824873-e9ee-4e59-be26-b761a42d68ff,4f670172-5583-4ccd-816d-a0fe4572e461,5d82ea76-d99e-4247-aff5-2740e37cb451,7fdb30c8-f96e-45be-afb6-d4f0634cdf38,641ff8a5-0117-4e86-b9ef-b46224022220,cf089f07-652b-4606-aa06-437dbf53d9f4,
bd695296-d6fa-4490-b20e-086ebaf452b9,Prompt,Michael Bay's new three-hour action epic pits ______ against ______.,0,2,6a824873-e9ee-4e59-be26-b761a42d68ff,4f670172-5583-4ccd-816d-a0fe4572e461,5d82ea76-d99e-4247-aff5-2740e37cb451,7fdb30c8-f96e-45be-afb6-d4f0634cdf38,641ff8a5-0117-4e86-b9ef-b46224022220,cf089f07-652b-4606-aa06-437dbf53d9f4,e0147b59-87a0-4dca-9fa5-4c37af15e33d
4892b14d-14f9-4fcb-b474-816e90e8786b,Prompt,My plan for world domination begins with ______.,0,0,6a824873-e9ee-4e59-be26-b761a42d68ff,4f670172-5583-4ccd-816d-a0fe4572e461,,7fdb30c8-f96e-45be-afb6-d4f0634cdf38,,cf089f07-652b-4606-aa06-437dbf53d9f4,e0147b59-87a0-4dca-9fa5-4c37af15e33d
6420462e-cf55-4fd3-8ffb-c4159816a24b,Prompt,"Next season on Man vs, Wild, Bear Grylls must survive the depths of the Amazon with only ______ and his wits.",0,0,6a824873-e9ee-4e59-be26-b761a42d68ff,4f670172-5583-4ccd-816d-a0fe4572e461,,7fdb30c8-f96e-45be-afb6-d4f0634cdf38,,cf089f07-652b-4606-aa06-437dbf53d9f4,
1e4c1b3c-9dc0-4e91-b2b4-9c8bf6d9e213,Prompt,"Next week on Discovery Channel, one man must survive in the depths of the Amazon with only _____ and his wits.",0,0,,,,,,,e0147b59-87a0-4dca-9fa5-4c37af15e33d
41f4f45a-a9e4-4b17-9f7d-04b01103f3dd,Prompt,Science will never explain ______.,0,0,,,5d82ea76-d99e-4247-aff5-2740e37cb451,7fdb30c8-f96e-45be-afb6-d4f0634cdf38,641ff8a5-0117-4e86-b9ef-b46224022220,cf089f07-652b-4606-aa06-437dbf53d9f4,e0147b59-87a0-4dca-9fa5-4c37af15e33d
2a1a5afd-1aa7-4cfe-aa1c-27a6188fc58d,Prompt,Science will never explain the origin of ______.,0,0,6a824873-e9ee-4e59-be26-b761a42d68ff,4f670172-5583-4ccd-816d-a0fe4572e461,,,,,
