uuid,name,description
f1e8332f-07e8-499e-95df-8d9a45e07257,Cards Against Humanity: Fourth Expansion,"Released November 21, 2013. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Blue Box Expansion. Icon: The number ""4"". "

uuid,edition,version,description,author,releaseDate,column
fed390ff-9bc1-4649-9c86-a602454fadea,,v1.0,,,0,0
342171a7-9155-4e45-85c5-61ec1ca30b98,,v1.1,,,0,1

uuid,suite,text,draw,pick,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
bf54558f-9fa1-4e77-abd8-c65cc741fc89,Prompt,"______ may pass, but ______ will last forever.",0,2,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
9c63fd7e-d100-41fb-8c56-567c71c3b285,Prompt,______ will never be the same after ______.,0,2,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
3a6311a1-d5d2-46b0-81bd-eefd7ff9f055,Prompt,"2 AM in the city that never sleeps. The door swings open and she walks in, legs up to here. Something in her eyes tells me she's looking for ______.",0,0,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
d0a56f46-93f8-420a-9d13-f57c91bc075e,Prompt,"Adventure. Romance. ______. From Paramount Pictures, ""______.""",0,2,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
ec345ea2-8c1b-4f8d-a776-f6b20d32ea25,Prompt,"Alright, bros. Our frat house is condemned, and all the hot slampieces are over at Gamma Phi. The time has come to commence Operation ______.",0,0,fed390ff-9bc1-4649-9c86-a602454fadea,
addd8faa-88d2-4c15-b089-a1b44bb90ab9,Prompt,"As king, how will I keep the peasants in line?",0,0,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
89313493-a696-4fef-9fdb-8cb396ba3700,Prompt,"Dammit, Gary.  You can't just solve every problem with ______.",0,0,,342171a7-9155-4e45-85c5-61ec1ca30b98
340b38d0-3b0d-415a-8d68-5a766271c8e6,Prompt,"Dear Leader Kim Jong-un, our village praises your infinite wisdom with a humble offering of ______.",0,0,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
d04ba737-210f-4078-87ab-4477f9565d3d,Prompt,Do not fuck with me! I am literally ______ right now.,0,0,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
a257d256-b02c-4dc6-a4dd-39019b2d3c9f,Prompt,Every step towards ______ gets me a little bit closer to ______.,0,2,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
2d33a067-129d-4492-9c66-1db1cb56b98d,Prompt,"Forget everything you know about ______, because now we've supercharged it with ______!",0,2,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
f37e6605-41d5-4cc7-9018-fdc236a88d4d,Prompt,"Honey, I have a new role-play I want to try tonight! You can be ______, and I'll be ______.",0,2,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
a758df3e-7b98-4ec1-8a3b-f3f6548ad21c,Prompt,How am I compensating for my tiny penis?,0,0,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
b910440d-ebcc-49c7-a267-ae8615eb4b7c,Prompt,"I am become ______, destroyer of ______!",0,2,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
a63777f2-7909-460f-8bdb-ffbb4af33742,Prompt,"I'm pretty sure I'm high right now, because I'm absolutely mesmerized by ______.",0,0,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
10c41ab9-257e-43bc-809c-80ea490ada76,Prompt,"I'm sorry, sir, but we don't allow ______ at the country club.",0,0,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
f5007cb2-e085-4e46-b135-070dd460d3aa,Prompt,"If you can't handle ______, you'd better stay away from ______.",0,2,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
22b489c1-288e-4d23-85a7-38809808b027,Prompt,"In return for my soul, the Devil promised me ______, but all I got was ______.",0,2,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
6f528056-646c-4172-9374-9d7195a2172c,Prompt,"In the beginning, there was ______. And the Lord said, ""Let there be ______.""",0,2,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
3fb29b6d-bcc4-4290-ac4b-7723629fb6d4,Prompt,"It lurks in the night. It hungers for flesh. This summer, no one is safe from ______.",0,0,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
d3601818-ffd8-4206-9579-6610c41423bc,Prompt,"Man, this is bullshit. Fuck ______.",0,0,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
e4e4a1ed-7438-45be-87cd-a92d53a0a85a,Prompt,"Oprah's book of the month is ""______ For ______: A Story of Hope.""",0,2,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
b9b44252-d5f9-4f93-b4b9-edaa3f330c1a,Prompt,She's up all night for good fun. I'm up all night for ______.,0,0,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
af8fcc43-df64-4921-86aa-79c59874a5c2,Prompt,"The Japanese have developed a smaller, more efficient version of ______.",0,0,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
7c1eab24-0cbe-4b10-811b-4f36d1d7bf4b,Prompt,"This is the prime of my life. I'm young, hot, and full of ______.",0,0,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
09fd79e9-927d-4373-84dc-a65a71a4221b,Prompt,"This year's hottest album is ""______"" by ______.",0,2,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
a0b2b030-31d6-4844-835b-b92ac041c925,Prompt,"We never did find ______, but along the way we sure learned a lot about ______.",0,2,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
7ac38583-0684-4999-94ec-1ebf1fe82e54,Prompt,Wes Anderson's new film tells the story of a precocious child coming to terms with ______.,0,0,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
882fc5b8-ef56-4a03-985b-4d54f10aa43a,Prompt,What's fun until it gets weird?,0,0,fed390ff-9bc1-4649-9c86-a602454fadea,342171a7-9155-4e45-85c5-61ec1ca30b98
